Upper Tier Local Authorities Code,Upper Tier Local Authorities,Type of central heating in household (13 categories) Code,Type of central heating in household (13 categories),Observation
E06000044,Portsmouth,12,Two or more types of central heating (including renewable energy),190
E06000045,Southampton,-9,Does not apply,0
E06000045,Southampton,1,No central heating,2214
E06000045,Southampton,2,Mains gas only,67680
E06000045,Southampton,3,Tank or bottled gas only,362
E06000045,Southampton,4,Electric only,21438
E06000045,Southampton,5,Oil only,64
E06000045,Southampton,6,Wood only,18
E06000045,Southampton,7,Solid fuel only,24
E06000045,Southampton,8,Renewable energy only,310
E06000045,Southampton,9,District or communal heat networks only,1501
E06000045,Southampton,10,Other central heating only,1401
E06000045,Southampton,11,Two or more types of central heating (not including renewable energy),6821
E06000045,Southampton,12,Two or more types of central heating (including renewable energy),456
E06000046,Isle of Wight,-9,Does not apply,0
E06000046,Isle of Wight,1,No central heating,1509
E06000046,Isle of Wight,2,Mains gas only,46018
E06000046,Isle of Wight,3,Tank or bottled gas only,893
E06000046,Isle of Wight,4,Electric only,6929
E06000046,Isle of Wight,5,Oil only,1709
E06000046,Isle of Wight,6,Wood only,178
E06000046,Isle of Wight,7,Solid fuel only,103
E06000046,Isle of Wight,8,Renewable energy only,431
E06000046,Isle of Wight,9,District or communal heat networks only,336
E06000046,Isle of Wight,10,Other central heating only,361
E06000046,Isle of Wight,11,Two or more types of central heating (not including renewable energy),5785
E06000046,Isle of Wight,12,Two or more types of central heating (including renewable energy),517
E06000047,County Durham,-9,Does not apply,0
E06000047,County Durham,1,No central heating,1403
E06000047,County Durham,2,Mains gas only,188240
E06000047,County Durham,3,Tank or bottled gas only,1523
E06000047,County Durham,4,Electric only,7193
E06000047,County Durham,5,Oil only,5593
E06000047,County Durham,6,Wood only,412
E06000047,County Durham,7,Solid fuel only,2117
E06000047,County Durham,8,Renewable energy only,522
E06000047,County Durham,9,District or communal heat networks only,494
E06000047,County Durham,10,Other central heating only,1822
E06000047,County Durham,11,Two or more types of central heating (not including renewable energy),24318
E06000047,County Durham,12,Two or more types of central heating (including renewable energy),1123
E06000049,Cheshire East,-9,Does not apply,0
E06000049,Cheshire East,1,No central heating,1755
E06000049,Cheshire East,2,Mains gas only,134465
E06000049,Cheshire East,3,Tank or bottled gas only,3006
E06000049,Cheshire East,4,Electric only,9714
E06000049,Cheshire East,5,Oil only,7441
E06000049,Cheshire East,6,Wood only,242
E06000049,Cheshire East,7,Solid fuel only,393
E06000049,Cheshire East,8,Renewable energy only,757
E06000049,Cheshire East,9,District or communal heat networks only,471
E06000049,Cheshire East,10,Other central heating only,759
E06000049,Cheshire East,11,Two or more types of central heating (not including renewable energy),15052
E06000049,Cheshire East,12,Two or more types of central heating (including renewable energy),801
E06000050,Cheshire West and Chester,-9,Does not apply,0
E06000050,Cheshire West and Chester,1,No central heating,1578
E06000050,Cheshire West and Chester,2,Mains gas only,120984
E06000050,Cheshire West and Chester,3,Tank or bottled gas only,2256
E06000050,Cheshire West and Chester,4,Electric only,8763
E06000050,Cheshire West and Chester,5,Oil only,5505
E06000050,Cheshire West and Chester,6,Wood only,179
E06000050,Cheshire West and Chester,7,Solid fuel only,280
E06000050,Cheshire West and Chester,8,Renewable energy only,491
E06000050,Cheshire West and Chester,9,District or communal heat networks only,444
E06000050,Cheshire West and Chester,10,Other central heating only,826
E06000050,Cheshire West and Chester,11,Two or more types of central heating (not including renewable energy),13092
E06000050,Cheshire West and Chester,12,Two or more types of central heating (including renewable energy),758
E06000051,Shropshire,-9,Does not apply,0
E06000051,Shropshire,1,No central heating,1982
E06000051,Shropshire,2,Mains gas only,80503
E06000051,Shropshire,3,Tank or bottled gas only,4554
E06000051,Shropshire,4,Electric only,9923
E06000051,Shropshire,5,Oil only,20902
E06000051,Shropshire,6,Wood only,964
E06000051,Shropshire,7,Solid fuel only,714
E06000051,Shropshire,8,Renewable energy only,1611
E06000051,Shropshire,9,District or communal heat networks only,352
E06000051,Shropshire,10,Other central heating only,529
E06000051,Shropshire,11,Two or more types of central heating (not including renewable energy),16237
E06000051,Shropshire,12,Two or more types of central heating (including renewable energy),1307
E06000052,Cornwall,-9,Does not apply,0
E06000052,Cornwall,1,No central heating,8776
E06000052,Cornwall,2,Mains gas only,116942
E06000052,Cornwall,3,Tank or bottled gas only,10837
E06000052,Cornwall,4,Electric only,38076
E06000052,Cornwall,5,Oil only,34476
E06000052,Cornwall,6,Wood only,1639
E06000052,Cornwall,7,Solid fuel only,1368
E06000052,Cornwall,8,Renewable energy only,4985
E06000052,Cornwall,9,District or communal heat networks only,308
E06000052,Cornwall,10,Other central heating only,1392
E06000052,Cornwall,11,Two or more types of central heating (not including renewable energy),28504
E06000052,Cornwall,12,Two or more types of central heating (including renewable energy),3232
E06000053,Isles of Scilly,-9,Does not apply,0
E06000053,Isles of Scilly,1,No central heating,165
E06000053,Isles of Scilly,2,Mains gas only,60
E06000053,Isles of Scilly,3,Tank or bottled gas only,6
E06000053,Isles of Scilly,4,Electric only,374
E06000053,Isles of Scilly,5,Oil only,98
E06000053,Isles of Scilly,6,Wood only,19
E06000053,Isles of Scilly,7,Solid fuel only,11
E06000053,Isles of Scilly,8,Renewable energy only,17
E06000053,Isles of Scilly,9,District or communal heat networks only,3
E06000053,Isles of Scilly,10,Other central heating only,3
E06000053,Isles of Scilly,11,Two or more types of central heating (not including renewable energy),146
E06000053,Isles of Scilly,12,Two or more types of central heating (including renewable energy),40
E06000054,Wiltshire,-9,Does not apply,0
E06000054,Wiltshire,1,No central heating,2202
E06000054,Wiltshire,2,Mains gas only,130322
E06000054,Wiltshire,3,Tank or bottled gas only,3341
E06000054,Wiltshire,4,Electric only,23764
E06000054,Wiltshire,5,Oil only,27937
E06000054,Wiltshire,6,Wood only,694
E06000054,Wiltshire,7,Solid fuel only,586
E06000054,Wiltshire,8,Renewable energy only,1979
E06000054,Wiltshire,9,District or communal heat networks only,602
E06000054,Wiltshire,10,Other central heating only,803
E06000054,Wiltshire,11,Two or more types of central heating (not including renewable energy),21088
E06000054,Wiltshire,12,Two or more types of central heating (including renewable energy),1763
E06000055,Bedford,-9,Does not apply,0
E06000055,Bedford,1,No central heating,922
E06000055,Bedford,2,Mains gas only,54447
E06000055,Bedford,3,Tank or bottled gas only,972
E06000055,Bedford,4,Electric only,7682
E06000055,Bedford,5,Oil only,2975
E06000055,Bedford,6,Wood only,65
E06000055,Bedford,7,Solid fuel only,76
E06000055,Bedford,8,Renewable energy only,365
E06000055,Bedford,9,District or communal heat networks only,320
E06000055,Bedford,10,Other central heating only,596
E06000055,Bedford,11,Two or more types of central heating (not including renewable energy),6089
E06000055,Bedford,12,Two or more types of central heating (including renewable energy),442
E06000056,Central Bedfordshire,-9,Does not apply,0
E06000056,Central Bedfordshire,1,No central heating,1185
E06000056,Central Bedfordshire,2,Mains gas only,94099
E06000056,Central Bedfordshire,3,Tank or bottled gas only,1324
E06000056,Central Bedfordshire,4,Electric only,8232
E06000056,Central Bedfordshire,5,Oil only,3938
E06000056,Central Bedfordshire,6,Wood only,108
E06000056,Central Bedfordshire,7,Solid fuel only,121
E06000056,Central Bedfordshire,8,Renewable energy only,562
E06000056,Central Bedfordshire,9,District or communal heat networks only,237
E06000056,Central Bedfordshire,10,Other central heating only,653
E06000056,Central Bedfordshire,11,Two or more types of central heating (not including renewable energy),9654
E06000056,Central Bedfordshire,12,Two or more types of central heating (including renewable energy),642
E06000057,Northumberland,-9,Does not apply,0
E06000057,Northumberland,1,No central heating,1110
E06000057,Northumberland,2,Mains gas only,104032
E06000057,Northumberland,3,Tank or bottled gas only,2647
E06000057,Northumberland,4,Electric only,6623
E06000057,Northumberland,5,Oil only,11009
E06000057,Northumberland,6,Wood only,741
E06000057,Northumberland,7,Solid fuel only,1633
E06000057,Northumberland,8,Renewable energy only,1014
E06000057,Northumberland,9,District or communal heat networks only,422
E06000057,Northumberland,10,Other central heating only,974
E06000057,Northumberland,11,Two or more types of central heating (not including renewable energy),15648
E06000057,Northumberland,12,Two or more types of central heating (including renewable energy),1069
E06000058,"Bournemouth, Christchurch and Poole",-9,Does not apply,0
E06000058,"Bournemouth, Christchurch and Poole",1,No central heating,2673
E06000058,"Bournemouth, Christchurch and Poole",2,Mains gas only,134200
E06000058,"Bournemouth, Christchurch and Poole",3,Tank or bottled gas only,637
E06000058,"Bournemouth, Christchurch and Poole",4,Electric only,20210
E06000058,"Bournemouth, Christchurch and Poole",5,Oil only,248
E06000058,"Bournemouth, Christchurch and Poole",6,Wood only,62
E06000058,"Bournemouth, Christchurch and Poole",7,Solid fuel only,33
E06000058,"Bournemouth, Christchurch and Poole",8,Renewable energy only,269
E06000058,"Bournemouth, Christchurch and Poole",9,District or communal heat networks only,1251
E06000058,"Bournemouth, Christchurch and Poole",10,Other central heating only,999
E06000058,"Bournemouth, Christchurch and Poole",11,Two or more types of central heating (not including renewable energy),12416
E06000058,"Bournemouth, Christchurch and Poole",12,Two or more types of central heating (including renewable energy),843
E06000059,Dorset,-9,Does not apply,0
E06000059,Dorset,1,No central heating,2296
E06000059,Dorset,2,Mains gas only,113634
E06000059,Dorset,3,Tank or bottled gas only,2616
E06000059,Dorset,4,Electric only,14190
E06000059,Dorset,5,Oil only,14735
E06000059,Dorset,6,Wood only,633
E06000059,Dorset,7,Solid fuel only,301
E06000059,Dorset,8,Renewable energy only,1260
E06000059,Dorset,9,District or communal heat networks only,535
E06000059,Dorset,10,Other central heating only,582
E06000059,Dorset,11,Two or more types of central heating (not including renewable energy),16889
E06000059,Dorset,12,Two or more types of central heating (including renewable energy),1588
E06000060,Buckinghamshire,-9,Does not apply,0
E06000060,Buckinghamshire,1,No central heating,1990
E06000060,Buckinghamshire,2,Mains gas only,161839
E06000060,Buckinghamshire,3,Tank or bottled gas only,3401
E06000060,Buckinghamshire,4,Electric only,17917
E06000060,Buckinghamshire,5,Oil only,11593
E06000060,Buckinghamshire,6,Wood only,212
E06000060,Buckinghamshire,7,Solid fuel only,209
E06000060,Buckinghamshire,8,Renewable energy only,1288
E06000060,Buckinghamshire,9,District or communal heat networks only,756
E06000060,Buckinghamshire,10,Other central heating only,1328
E06000060,Buckinghamshire,11,Two or more types of central heating (not including renewable energy),18271
E06000060,Buckinghamshire,12,Two or more types of central heating (including renewable energy),1524
E06000061,North Northamptonshire,-9,Does not apply,0
E06000061,North Northamptonshire,1,No central heating,1597
E06000061,North Northamptonshire,2,Mains gas only,118334
E06000061,North Northamptonshire,3,Tank or bottled gas only,1167
E06000061,North Northamptonshire,4,Electric only,8533
E06000061,North Northamptonshire,5,Oil only,3673
E06000061,North Northamptonshire,6,Wood only,125
E06000061,North Northamptonshire,7,Solid fuel only,119
E06000061,North Northamptonshire,8,Renewable energy only,665
E06000061,North Northamptonshire,9,District or communal heat networks only,336
E06000061,North Northamptonshire,10,Other central heating only,1067
E06000061,North Northamptonshire,11,Two or more types of central heating (not including renewable energy),12126
E06000061,North Northamptonshire,12,Two or more types of central heating (including renewable energy),1176
E06000062,West Northamptonshire,-9,Does not apply,0
E06000062,West Northamptonshire,1,No central heating,2273
E06000062,West Northamptonshire,2,Mains gas only,125855
E06000062,West Northamptonshire,3,Tank or bottled gas only,1798
E06000062,West Northamptonshire,4,Electric only,14088
E06000062,West Northamptonshire,5,Oil only,8591
E06000062,West Northamptonshire,6,Wood only,217
E06000062,West Northamptonshire,7,Solid fuel only,179
E06000062,West Northamptonshire,8,Renewable energy only,1166
E06000062,West Northamptonshire,9,District or communal heat networks only,740
E06000062,West Northamptonshire,10,Other central heating only,1682
E06000062,West Northamptonshire,11,Two or more types of central heating (not including renewable energy),14824
E06000062,West Northamptonshire,12,Two or more types of central heating (including renewable energy),1227
E08000001,Bolton,-9,Does not apply,0
E08000001,Bolton,1,No central heating,1747
E08000001,Bolton,2,Mains gas only,96195
E08000001,Bolton,3,Tank or bottled gas only,402
E08000001,Bolton,4,Electric only,8045
E08000001,Bolton,5,Oil only,250
E08000001,Bolton,6,Wood only,42
E08000001,Bolton,7,Solid fuel only,90
E08000001,Bolton,8,Renewable energy only,104
E08000001,Bolton,9,District or communal heat networks only,643
E08000001,Bolton,10,Other central heating only,1346
E08000001,Bolton,11,Two or more types of central heating (not including renewable energy),9650
E08000001,Bolton,12,Two or more types of central heating (including renewable energy),275
E08000002,Bury,-9,Does not apply,0
E08000002,Bury,1,No central heating,1035
E08000002,Bury,2,Mains gas only,67065
E08000002,Bury,3,Tank or bottled gas only,225
E08000002,Bury,4,Electric only,4957
E08000002,Bury,5,Oil only,182
E08000002,Bury,6,Wood only,27
E08000002,Bury,7,Solid fuel only,20
E08000002,Bury,8,Renewable energy only,66
E08000002,Bury,9,District or communal heat networks only,200
E08000002,Bury,10,Other central heating only,574
E08000002,Bury,11,Two or more types of central heating (not including renewable energy),6159
E08000002,Bury,12,Two or more types of central heating (including renewable energy),184
E08000003,Manchester,-9,Does not apply,0
E08000003,Manchester,1,No central heating,4884
E08000003,Manchester,2,Mains gas only,143876
E08000003,Manchester,3,Tank or bottled gas only,1039
E08000003,Manchester,4,Electric only,39199
E08000003,Manchester,5,Oil only,193
E08000003,Manchester,6,Wood only,77
E08000003,Manchester,7,Solid fuel only,23
E08000003,Manchester,8,Renewable energy only,400
E08000003,Manchester,9,District or communal heat networks only,2349
E08000003,Manchester,10,Other central heating only,3731
E08000003,Manchester,11,Two or more types of central heating (not including renewable energy),18074
E08000003,Manchester,12,Two or more types of central heating (including renewable energy),890
E08000004,Oldham,-9,Does not apply,0
E08000004,Oldham,1,No central heating,1109
E08000004,Oldham,2,Mains gas only,75150
E08000004,Oldham,3,Tank or bottled gas only,432
E08000004,Oldham,4,Electric only,4829
E08000004,Oldham,5,Oil only,269
E08000004,Oldham,6,Wood only,28
E08000004,Oldham,7,Solid fuel only,39
E08000004,Oldham,8,Renewable energy only,89
E08000004,Oldham,9,District or communal heat networks only,1190
E08000004,Oldham,10,Other central heating only,1313
E08000004,Oldham,11,Two or more types of central heating (not including renewable energy),8407
E08000004,Oldham,12,Two or more types of central heating (including renewable energy),284
E08000005,Rochdale,-9,Does not apply,0
E08000005,Rochdale,1,No central heating,1144
E08000005,Rochdale,2,Mains gas only,73569
E08000005,Rochdale,3,Tank or bottled gas only,433
E08000005,Rochdale,4,Electric only,5011
E08000005,Rochdale,5,Oil only,257
E08000005,Rochdale,6,Wood only,46
E08000005,Rochdale,7,Solid fuel only,39
E08000005,Rochdale,8,Renewable energy only,76
E08000005,Rochdale,9,District or communal heat networks only,315
E08000005,Rochdale,10,Other central heating only,1116
E08000005,Rochdale,11,Two or more types of central heating (not including renewable energy),7968
E08000005,Rochdale,12,Two or more types of central heating (including renewable energy),251
E08000006,Salford,-9,Does not apply,0
E08000006,Salford,1,No central heating,1952
E08000006,Salford,2,Mains gas only,79857
E08000006,Salford,3,Tank or bottled gas only,436
E08000006,Salford,4,Electric only,20813
E08000006,Salford,5,Oil only,161
E08000006,Salford,6,Wood only,21
E08000006,Salford,7,Solid fuel only,59
E08000006,Salford,8,Renewable energy only,368
E08000006,Salford,9,District or communal heat networks only,843
E08000006,Salford,10,Other central heating only,1368
E08000006,Salford,11,Two or more types of central heating (not including renewable energy),8826
E08000006,Salford,12,Two or more types of central heating (including renewable energy),412
E08000007,Stockport,-9,Does not apply,0
E08000007,Stockport,1,No central heating,1570
E08000007,Stockport,2,Mains gas only,103947
E08000007,Stockport,3,Tank or bottled gas only,362
E08000007,Stockport,4,Electric only,8626
E08000007,Stockport,5,Oil only,238
E08000007,Stockport,6,Wood only,169
E08000007,Stockport,7,Solid fuel only,32
E08000007,Stockport,8,Renewable energy only,210
E08000007,Stockport,9,District or communal heat networks only,1157
E08000007,Stockport,10,Other central heating only,887
E08000007,Stockport,11,Two or more types of central heating (not including renewable energy),9017
E08000007,Stockport,12,Two or more types of central heating (including renewable energy),434
E08000008,Tameside,-9,Does not apply,0
E08000008,Tameside,1,No central heating,1456
E08000008,Tameside,2,Mains gas only,81583
E08000008,Tameside,3,Tank or bottled gas only,331
E08000008,Tameside,4,Electric only,5629
E08000008,Tameside,5,Oil only,168
E08000008,Tameside,6,Wood only,38
E08000008,Tameside,7,Solid fuel only,32
E08000008,Tameside,8,Renewable energy only,103
E08000008,Tameside,9,District or communal heat networks only,357
E08000008,Tameside,10,Other central heating only,930
E08000008,Tameside,11,Two or more types of central heating (not including renewable energy),8542
E08000008,Tameside,12,Two or more types of central heating (including renewable energy),355
E08000009,Trafford,-9,Does not apply,0
E08000009,Trafford,1,No central heating,1160
E08000009,Trafford,2,Mains gas only,78873
E08000009,Trafford,3,Tank or bottled gas only,228
E08000009,Trafford,4,Electric only,7638
E08000009,Trafford,5,Oil only,107
E08000009,Trafford,6,Wood only,39
E08000009,Trafford,7,Solid fuel only,11
E08000009,Trafford,8,Renewable energy only,139
E08000009,Trafford,9,District or communal heat networks only,557
E08000009,Trafford,10,Other central heating only,629
E08000009,Trafford,11,Two or more types of central heating (not including renewable energy),6669
E08000009,Trafford,12,Two or more types of central heating (including renewable energy),217
E08000010,Wigan,-9,Does not apply,0
E08000010,Wigan,1,No central heating,1383
E08000010,Wigan,2,Mains gas only,120044
E08000010,Wigan,3,Tank or bottled gas only,577
E08000010,Wigan,4,Electric only,7411
E08000010,Wigan,5,Oil only,297
E08000010,Wigan,6,Wood only,51
E08000010,Wigan,7,Solid fuel only,298
E08000010,Wigan,8,Renewable energy only,132
E08000010,Wigan,9,District or communal heat networks only,283
E08000010,Wigan,10,Other central heating only,893
E08000010,Wigan,11,Two or more types of central heating (not including renewable energy),11341
E08000010,Wigan,12,Two or more types of central heating (including renewable energy),392
E08000011,Knowsley,-9,Does not apply,0
E08000011,Knowsley,1,No central heating,1020
E08000011,Knowsley,2,Mains gas only,55121
E08000011,Knowsley,3,Tank or bottled gas only,565
E08000011,Knowsley,4,Electric only,2756
E08000011,Knowsley,5,Oil only,133
E08000011,Knowsley,6,Wood only,102
E08000011,Knowsley,7,Solid fuel only,37
E08000011,Knowsley,8,Renewable energy only,104
E08000011,Knowsley,9,District or communal heat networks only,211
E08000011,Knowsley,10,Other central heating only,930
E08000011,Knowsley,11,Two or more types of central heating (not including renewable energy),4820
E08000011,Knowsley,12,Two or more types of central heating (including renewable energy),274
E08000012,Liverpool,-9,Does not apply,0
E08000012,Liverpool,1,No central heating,4822
E08000012,Liverpool,2,Mains gas only,161443
E08000012,Liverpool,3,Tank or bottled gas only,986
E08000012,Liverpool,4,Electric only,20288
E08000012,Liverpool,5,Oil only,111
E08000012,Liverpool,6,Wood only,23
E08000012,Liverpool,7,Solid fuel only,44
E08000012,Liverpool,8,Renewable energy only,175
E08000012,Liverpool,9,District or communal heat networks only,1107
E08000012,Liverpool,10,Other central heating only,2894
E08000012,Liverpool,11,Two or more types of central heating (not including renewable energy),15212
E08000012,Liverpool,12,Two or more types of central heating (including renewable energy),386
E08000013,St. Helens,-9,Does not apply,0
E08000013,St. Helens,1,No central heating,1003
E08000013,St. Helens,2,Mains gas only,68813
E08000013,St. Helens,3,Tank or bottled gas only,310
E08000013,St. Helens,4,Electric only,3002
E08000013,St. Helens,5,Oil only,185
E08000013,St. Helens,6,Wood only,33
E08000013,St. Helens,7,Solid fuel only,107
E08000013,St. Helens,8,Renewable energy only,46
E08000013,St. Helens,9,District or communal heat networks only,340
E08000013,St. Helens,10,Other central heating only,659
E08000013,St. Helens,11,Two or more types of central heating (not including renewable energy),6324
E08000013,St. Helens,12,Two or more types of central heating (including renewable energy),189
E08000014,Sefton,-9,Does not apply,0
E08000014,Sefton,1,No central heating,1965
E08000014,Sefton,2,Mains gas only,102891
E08000014,Sefton,3,Tank or bottled gas only,569
E08000014,Sefton,4,Electric only,6686
E08000014,Sefton,5,Oil only,292
E08000014,Sefton,6,Wood only,47
E08000014,Sefton,7,Solid fuel only,57
E08000014,Sefton,8,Renewable energy only,104
E08000014,Sefton,9,District or communal heat networks only,506
E08000014,Sefton,10,Other central heating only,1036
E08000014,Sefton,11,Two or more types of central heating (not including renewable energy),8648
E08000014,Sefton,12,Two or more types of central heating (including renewable energy),274
E08000015,Wirral,-9,Does not apply,0
E08000015,Wirral,1,No central heating,2125
E08000015,Wirral,2,Mains gas only,120711
E08000015,Wirral,3,Tank or bottled gas only,484
E08000015,Wirral,4,Electric only,6813
E08000015,Wirral,5,Oil only,238
E08000015,Wirral,6,Wood only,33
E08000015,Wirral,7,Solid fuel only,26
E08000015,Wirral,8,Renewable energy only,171
E08000015,Wirral,9,District or communal heat networks only,673
E08000015,Wirral,10,Other central heating only,1156
E08000015,Wirral,11,Two or more types of central heating (not including renewable energy),10431
E08000015,Wirral,12,Two or more types of central heating (including renewable energy),392
E08000016,Barnsley,-9,Does not apply,0
E08000016,Barnsley,1,No central heating,755
E08000016,Barnsley,2,Mains gas only,88744
E08000016,Barnsley,3,Tank or bottled gas only,609
E08000016,Barnsley,4,Electric only,3637
E08000016,Barnsley,5,Oil only,771
E08000016,Barnsley,6,Wood only,122
E08000016,Barnsley,7,Solid fuel only,967
E08000016,Barnsley,8,Renewable energy only,402
E08000016,Barnsley,9,District or communal heat networks only,933
E08000016,Barnsley,10,Other central heating only,985
E08000016,Barnsley,11,Two or more types of central heating (not including renewable energy),9564
E08000016,Barnsley,12,Two or more types of central heating (including renewable energy),565
E08000017,Doncaster,-9,Does not apply,0
E08000017,Doncaster,1,No central heating,1117
E08000017,Doncaster,2,Mains gas only,109842
E08000017,Doncaster,3,Tank or bottled gas only,1328
E08000017,Doncaster,4,Electric only,5046
E08000017,Doncaster,5,Oil only,1190
E08000017,Doncaster,6,Wood only,126
E08000017,Doncaster,7,Solid fuel only,870
E08000017,Doncaster,8,Renewable energy only,323
E08000017,Doncaster,9,District or communal heat networks only,624
E08000017,Doncaster,10,Other central heating only,1185
E08000017,Doncaster,11,Two or more types of central heating (not including renewable energy),11190
E08000017,Doncaster,12,Two or more types of central heating (including renewable energy),640
E08000018,Rotherham,-9,Does not apply,0
E08000018,Rotherham,1,No central heating,929
E08000018,Rotherham,2,Mains gas only,94367
E08000018,Rotherham,3,Tank or bottled gas only,557
E08000018,Rotherham,4,Electric only,3738
E08000018,Rotherham,5,Oil only,519
E08000018,Rotherham,6,Wood only,64
E08000018,Rotherham,7,Solid fuel only,531
E08000018,Rotherham,8,Renewable energy only,232
E08000018,Rotherham,9,District or communal heat networks only,1294
E08000018,Rotherham,10,Other central heating only,1187
E08000018,Rotherham,11,Two or more types of central heating (not including renewable energy),9923
E08000018,Rotherham,12,Two or more types of central heating (including renewable energy),584
E08000019,Sheffield,-9,Does not apply,0
E08000019,Sheffield,1,No central heating,3222
E08000019,Sheffield,2,Mains gas only,183700
E08000019,Sheffield,3,Tank or bottled gas only,827
E08000019,Sheffield,4,Electric only,16969
E08000019,Sheffield,5,Oil only,355
E08000019,Sheffield,6,Wood only,76
E08000019,Sheffield,7,Solid fuel only,194
E08000019,Sheffield,8,Renewable energy only,432
E08000019,Sheffield,9,District or communal heat networks only,4872
E08000019,Sheffield,10,Other central heating only,2472
E08000019,Sheffield,11,Two or more types of central heating (not including renewable energy),17931
E08000019,Sheffield,12,Two or more types of central heating (including renewable energy),900
E08000021,Newcastle upon Tyne,-9,Does not apply,0
E08000021,Newcastle upon Tyne,1,No central heating,1447
E08000021,Newcastle upon Tyne,2,Mains gas only,91909
E08000021,Newcastle upon Tyne,3,Tank or bottled gas only,457
E08000021,Newcastle upon Tyne,4,Electric only,12392
E08000021,Newcastle upon Tyne,5,Oil only,131
E08000021,Newcastle upon Tyne,6,Wood only,44
E08000021,Newcastle upon Tyne,7,Solid fuel only,38
E08000021,Newcastle upon Tyne,8,Renewable energy only,133
E08000021,Newcastle upon Tyne,9,District or communal heat networks only,2880
E08000021,Newcastle upon Tyne,10,Other central heating only,1642
E08000021,Newcastle upon Tyne,11,Two or more types of central heating (not including renewable energy),11298
E08000021,Newcastle upon Tyne,12,Two or more types of central heating (including renewable energy),426
E08000022,North Tyneside,-9,Does not apply,0
E08000022,North Tyneside,1,No central heating,767
E08000022,North Tyneside,2,Mains gas only,79948
E08000022,North Tyneside,3,Tank or bottled gas only,249
E08000022,North Tyneside,4,Electric only,5066
E08000022,North Tyneside,5,Oil only,55
E08000022,North Tyneside,6,Wood only,13
E08000022,North Tyneside,7,Solid fuel only,35
E08000022,North Tyneside,8,Renewable energy only,64
E08000022,North Tyneside,9,District or communal heat networks only,556
E08000022,North Tyneside,10,Other central heating only,866
E08000022,North Tyneside,11,Two or more types of central heating (not including renewable energy),8280
E08000022,North Tyneside,12,Two or more types of central heating (including renewable energy),335
E08000023,South Tyneside,-9,Does not apply,0
E08000023,South Tyneside,1,No central heating,490
E08000023,South Tyneside,2,Mains gas only,56263
E08000023,South Tyneside,3,Tank or bottled gas only,226
E08000023,South Tyneside,4,Electric only,2468
E08000023,South Tyneside,5,Oil only,53
E08000023,South Tyneside,6,Wood only,21
E08000023,South Tyneside,7,Solid fuel only,74
E08000023,South Tyneside,8,Renewable energy only,82
E08000023,South Tyneside,9,District or communal heat networks only,518
E08000023,South Tyneside,10,Other central heating only,832
E08000023,South Tyneside,11,Two or more types of central heating (not including renewable energy),7022
E08000023,South Tyneside,12,Two or more types of central heating (including renewable energy),237
E08000024,Sunderland,-9,Does not apply,0
E08000024,Sunderland,1,No central heating,908
E08000024,Sunderland,2,Mains gas only,97605
E08000024,Sunderland,3,Tank or bottled gas only,405
E08000024,Sunderland,4,Electric only,5844
E08000024,Sunderland,5,Oil only,144
E08000024,Sunderland,6,Wood only,46
E08000024,Sunderland,7,Solid fuel only,240
E08000024,Sunderland,8,Renewable energy only,253
E08000024,Sunderland,9,District or communal heat networks only,1567
E08000024,Sunderland,10,Other central heating only,1542
E08000024,Sunderland,11,Two or more types of central heating (not including renewable energy),12811
E08000024,Sunderland,12,Two or more types of central heating (including renewable energy),812
E08000025,Birmingham,-9,Does not apply,0
E08000025,Birmingham,1,No central heating,9995
E08000025,Birmingham,2,Mains gas only,314339
E08000025,Birmingham,3,Tank or bottled gas only,2037
E08000025,Birmingham,4,Electric only,49507
E08000025,Birmingham,5,Oil only,292
E08000025,Birmingham,6,Wood only,60
E08000025,Birmingham,7,Solid fuel only,56
E08000025,Birmingham,8,Renewable energy only,343
E08000025,Birmingham,9,District or communal heat networks only,2524
E08000025,Birmingham,10,Other central heating only,8738
E08000025,Birmingham,11,Two or more types of central heating (not including renewable energy),34541
E08000025,Birmingham,12,Two or more types of central heating (including renewable energy),1023
E08000026,Coventry,-9,Does not apply,0
E08000026,Coventry,1,No central heating,2584
E08000026,Coventry,2,Mains gas only,106616
E08000026,Coventry,3,Tank or bottled gas only,588
E08000026,Coventry,4,Electric only,11450
E08000026,Coventry,5,Oil only,103
E08000026,Coventry,6,Wood only,24
E08000026,Coventry,7,Solid fuel only,34
E08000026,Coventry,8,Renewable energy only,93
E08000026,Coventry,9,District or communal heat networks only,504
E08000026,Coventry,10,Other central heating only,1626
E08000026,Coventry,11,Two or more types of central heating (not including renewable energy),10164
E08000026,Coventry,12,Two or more types of central heating (including renewable energy),354
E08000027,Dudley,-9,Does not apply,0
E08000027,Dudley,1,No central heating,2139
E08000027,Dudley,2,Mains gas only,113051
E08000027,Dudley,3,Tank or bottled gas only,425
E08000027,Dudley,4,Electric only,8840
E08000027,Dudley,5,Oil only,62
E08000027,Dudley,6,Wood only,45
E08000027,Dudley,7,Solid fuel only,65
E08000027,Dudley,8,Renewable energy only,57
E08000027,Dudley,9,District or communal heat networks only,289
E08000027,Dudley,10,Other central heating only,1092
E08000027,Dudley,11,Two or more types of central heating (not including renewable energy),10688
E08000027,Dudley,12,Two or more types of central heating (including renewable energy),312
E08000028,Sandwell,-9,Does not apply,0
E08000028,Sandwell,1,No central heating,2349
E08000028,Sandwell,2,Mains gas only,102445
