Upper Tier Local Authorities Code,Upper Tier Local Authorities,Type of central heating in household (13 categories) Code,Type of central heating in household (13 categories),Observation
E06000009,Blackpool,3,Tank or bottled gas only,169
E06000009,Blackpool,4,Electric only,6062
E06000009,Blackpool,5,Oil only,57
E06000009,Blackpool,6,Wood only,70
E06000009,Blackpool,7,Solid fuel only,24
E06000009,Blackpool,8,Renewable energy only,24
E06000009,Blackpool,9,District or communal heat networks only,144
E06000009,Blackpool,10,Other central heating only,631
E06000009,Blackpool,11,Two or more types of central heating (not including renewable energy),5318
E06000009,Blackpool,12,Two or more types of central heating (including renewable energy),115
E06000010,Kingston upon Hull,-9,Does not apply,0
E06000010,Kingston upon Hull,1,No central heating,2093
E06000010,Kingston upon Hull,2,Mains gas only,92448
E06000010,Kingston upon Hull,3,Tank or bottled gas only,559
E06000010,Kingston upon Hull,4,Electric only,8169
E06000010,Kingston upon Hull,5,Oil only,40
E06000010,Kingston upon Hull,6,Wood only,31
E06000010,Kingston upon Hull,7,Solid fuel only,41
E06000010,Kingston upon Hull,8,Renewable energy only,119
E06000010,Kingston upon Hull,9,District or communal heat networks only,374
E06000010,Kingston upon Hull,10,Other central heating only,1555
E06000010,Kingston upon Hull,11,Two or more types of central heating (not including renewable energy),9775
E06000010,Kingston upon Hull,12,Two or more types of central heating (including renewable energy),267
E06000011,East Riding of Yorkshire,-9,Does not apply,0
E06000011,East Riding of Yorkshire,1,No central heating,1507
E06000011,East Riding of Yorkshire,2,Mains gas only,113989
E06000011,East Riding of Yorkshire,3,Tank or bottled gas only,2449
E06000011,East Riding of Yorkshire,4,Electric only,7401
E06000011,East Riding of Yorkshire,5,Oil only,8770
E06000011,East Riding of Yorkshire,6,Wood only,548
E06000011,East Riding of Yorkshire,7,Solid fuel only,902
E06000011,East Riding of Yorkshire,8,Renewable energy only,1065
E06000011,East Riding of Yorkshire,9,District or communal heat networks only,135
E06000011,East Riding of Yorkshire,10,Other central heating only,673
E06000011,East Riding of Yorkshire,11,Two or more types of central heating (not including renewable energy),13712
E06000011,East Riding of Yorkshire,12,Two or more types of central heating (including renewable energy),919
E06000012,North East Lincolnshire,-9,Does not apply,0
E06000012,North East Lincolnshire,1,No central heating,1021
E06000012,North East Lincolnshire,2,Mains gas only,58454
E06000012,North East Lincolnshire,3,Tank or bottled gas only,283
E06000012,North East Lincolnshire,4,Electric only,2983
E06000012,North East Lincolnshire,5,Oil only,450
E06000012,North East Lincolnshire,6,Wood only,63
E06000012,North East Lincolnshire,7,Solid fuel only,84
E06000012,North East Lincolnshire,8,Renewable energy only,136
E06000012,North East Lincolnshire,9,District or communal heat networks only,205
E06000012,North East Lincolnshire,10,Other central heating only,527
E06000012,North East Lincolnshire,11,Two or more types of central heating (not including renewable energy),5363
E06000012,North East Lincolnshire,12,Two or more types of central heating (including renewable energy),257
E06000013,North Lincolnshire,-9,Does not apply,0
E06000013,North Lincolnshire,1,No central heating,540
E06000013,North Lincolnshire,2,Mains gas only,57720
E06000013,North Lincolnshire,3,Tank or bottled gas only,864
E06000013,North Lincolnshire,4,Electric only,2566
E06000013,North Lincolnshire,5,Oil only,3327
E06000013,North Lincolnshire,6,Wood only,138
E06000013,North Lincolnshire,7,Solid fuel only,555
E06000013,North Lincolnshire,8,Renewable energy only,366
E06000013,North Lincolnshire,9,District or communal heat networks only,222
E06000013,North Lincolnshire,10,Other central heating only,453
E06000013,North Lincolnshire,11,Two or more types of central heating (not including renewable energy),5953
E06000013,North Lincolnshire,12,Two or more types of central heating (including renewable energy),471
E06000014,York,-9,Does not apply,0
E06000014,York,1,No central heating,1056
E06000014,York,2,Mains gas only,66964
E06000014,York,3,Tank or bottled gas only,473
E06000014,York,4,Electric only,7794
E06000014,York,5,Oil only,950
E06000014,York,6,Wood only,59
E06000014,York,7,Solid fuel only,63
E06000014,York,8,Renewable energy only,274
E06000014,York,9,District or communal heat networks only,586
E06000014,York,10,Other central heating only,413
E06000014,York,11,Two or more types of central heating (not including renewable energy),6413
E06000014,York,12,Two or more types of central heating (including renewable energy),415
E06000015,Derby,-9,Does not apply,0
E06000015,Derby,1,No central heating,1829
E06000015,Derby,2,Mains gas only,85904
E06000015,Derby,3,Tank or bottled gas only,429
E06000015,Derby,4,Electric only,7480
E06000015,Derby,5,Oil only,36
E06000015,Derby,6,Wood only,36
E06000015,Derby,7,Solid fuel only,44
E06000015,Derby,8,Renewable energy only,120
E06000015,Derby,9,District or communal heat networks only,236
E06000015,Derby,10,Other central heating only,1235
E06000015,Derby,11,Two or more types of central heating (not including renewable energy),7930
E06000015,Derby,12,Two or more types of central heating (including renewable energy),373
E06000016,Leicester,-9,Does not apply,0
E06000016,Leicester,1,No central heating,2416
E06000016,Leicester,2,Mains gas only,94228
E06000016,Leicester,3,Tank or bottled gas only,668
E06000016,Leicester,4,Electric only,14002
E06000016,Leicester,5,Oil only,49
E06000016,Leicester,6,Wood only,14
E06000016,Leicester,7,Solid fuel only,40
E06000016,Leicester,8,Renewable energy only,175
E06000016,Leicester,9,District or communal heat networks only,2421
E06000016,Leicester,10,Other central heating only,2388
E06000016,Leicester,11,Two or more types of central heating (not including renewable energy),10360
E06000016,Leicester,12,Two or more types of central heating (including renewable energy),624
E06000017,Rutland,-9,Does not apply,0
E06000017,Rutland,1,No central heating,122
E06000017,Rutland,2,Mains gas only,11676
E06000017,Rutland,3,Tank or bottled gas only,231
E06000017,Rutland,4,Electric only,978
E06000017,Rutland,5,Oil only,1520
E06000017,Rutland,6,Wood only,37
E06000017,Rutland,7,Solid fuel only,53
E06000017,Rutland,8,Renewable energy only,173
E06000017,Rutland,9,District or communal heat networks only,51
E06000017,Rutland,10,Other central heating only,47
E06000017,Rutland,11,Two or more types of central heating (not including renewable energy),1594
E06000017,Rutland,12,Two or more types of central heating (including renewable energy),211
E06000018,Nottingham,-9,Does not apply,0
E06000018,Nottingham,1,No central heating,2039
E06000018,Nottingham,2,Mains gas only,90870
E06000018,Nottingham,3,Tank or bottled gas only,887
E06000018,Nottingham,4,Electric only,13762
E06000018,Nottingham,5,Oil only,65
E06000018,Nottingham,6,Wood only,28
E06000018,Nottingham,7,Solid fuel only,181
E06000018,Nottingham,8,Renewable energy only,255
E06000018,Nottingham,9,District or communal heat networks only,3190
E06000018,Nottingham,10,Other central heating only,1838
E06000018,Nottingham,11,Two or more types of central heating (not including renewable energy),11063
E06000018,Nottingham,12,Two or more types of central heating (including renewable energy),567
E06000019,Herefordshire,-9,Does not apply,0
E06000019,Herefordshire,1,No central heating,1546
E06000019,Herefordshire,2,Mains gas only,44470
E06000019,Herefordshire,3,Tank or bottled gas only,2892
E06000019,Herefordshire,4,Electric only,6730
E06000019,Herefordshire,5,Oil only,13389
E06000019,Herefordshire,6,Wood only,681
E06000019,Herefordshire,7,Solid fuel only,318
E06000019,Herefordshire,8,Renewable energy only,1001
E06000019,Herefordshire,9,District or communal heat networks only,201
E06000019,Herefordshire,10,Other central heating only,353
E06000019,Herefordshire,11,Two or more types of central heating (not including renewable energy),10340
E06000019,Herefordshire,12,Two or more types of central heating (including renewable energy),906
E06000020,Telford and Wrekin,-9,Does not apply,0
E06000020,Telford and Wrekin,1,No central heating,721
E06000020,Telford and Wrekin,2,Mains gas only,61968
E06000020,Telford and Wrekin,3,Tank or bottled gas only,620
E06000020,Telford and Wrekin,4,Electric only,3265
E06000020,Telford and Wrekin,5,Oil only,1259
E06000020,Telford and Wrekin,6,Wood only,72
E06000020,Telford and Wrekin,7,Solid fuel only,119
E06000020,Telford and Wrekin,8,Renewable energy only,161
E06000020,Telford and Wrekin,9,District or communal heat networks only,202
E06000020,Telford and Wrekin,10,Other central heating only,607
E06000020,Telford and Wrekin,11,Two or more types of central heating (not including renewable energy),7165
E06000020,Telford and Wrekin,12,Two or more types of central heating (including renewable energy),352
E06000021,Stoke-on-Trent,-9,Does not apply,0
E06000021,Stoke-on-Trent,1,No central heating,1432
E06000021,Stoke-on-Trent,2,Mains gas only,90191
E06000021,Stoke-on-Trent,3,Tank or bottled gas only,479
E06000021,Stoke-on-Trent,4,Electric only,6688
E06000021,Stoke-on-Trent,5,Oil only,99
E06000021,Stoke-on-Trent,6,Wood only,31
E06000021,Stoke-on-Trent,7,Solid fuel only,236
E06000021,Stoke-on-Trent,8,Renewable energy only,126
E06000021,Stoke-on-Trent,9,District or communal heat networks only,432
E06000021,Stoke-on-Trent,10,Other central heating only,1197
E06000021,Stoke-on-Trent,11,Two or more types of central heating (not including renewable energy),8945
E06000021,Stoke-on-Trent,12,Two or more types of central heating (including renewable energy),542
E06000022,Bath and North East Somerset,-9,Does not apply,0
E06000022,Bath and North East Somerset,1,No central heating,855
E06000022,Bath and North East Somerset,2,Mains gas only,58923
E06000022,Bath and North East Somerset,3,Tank or bottled gas only,599
E06000022,Bath and North East Somerset,4,Electric only,7378
E06000022,Bath and North East Somerset,5,Oil only,2961
E06000022,Bath and North East Somerset,6,Wood only,140
E06000022,Bath and North East Somerset,7,Solid fuel only,171
E06000022,Bath and North East Somerset,8,Renewable energy only,249
E06000022,Bath and North East Somerset,9,District or communal heat networks only,513
E06000022,Bath and North East Somerset,10,Other central heating only,330
E06000022,Bath and North East Somerset,11,Two or more types of central heating (not including renewable energy),6593
E06000022,Bath and North East Somerset,12,Two or more types of central heating (including renewable energy),540
E06000023,Bristol,-9,Does not apply,0
E06000023,Bristol,1,No central heating,3110
E06000023,Bristol,2,Mains gas only,143784
E06000023,Bristol,3,Tank or bottled gas only,617
E06000023,Bristol,4,Electric only,24851
E06000023,Bristol,5,Oil only,262
E06000023,Bristol,6,Wood only,93
E06000023,Bristol,7,Solid fuel only,83
E06000023,Bristol,8,Renewable energy only,396
E06000023,Bristol,9,District or communal heat networks only,2420
E06000023,Bristol,10,Other central heating only,1686
E06000023,Bristol,11,Two or more types of central heating (not including renewable energy),13383
E06000023,Bristol,12,Two or more types of central heating (including renewable energy),953
E06000024,North Somerset,-9,Does not apply,0
E06000024,North Somerset,1,No central heating,930
E06000024,North Somerset,2,Mains gas only,72586
E06000024,North Somerset,3,Tank or bottled gas only,1200
E06000024,North Somerset,4,Electric only,7219
E06000024,North Somerset,5,Oil only,3146
E06000024,North Somerset,6,Wood only,127
E06000024,North Somerset,7,Solid fuel only,76
E06000024,North Somerset,8,Renewable energy only,325
E06000024,North Somerset,9,District or communal heat networks only,362
E06000024,North Somerset,10,Other central heating only,383
E06000024,North Somerset,11,Two or more types of central heating (not including renewable energy),7414
E06000024,North Somerset,12,Two or more types of central heating (including renewable energy),881
E06000025,South Gloucestershire,-9,Does not apply,0
E06000025,South Gloucestershire,1,No central heating,1081
E06000025,South Gloucestershire,2,Mains gas only,91075
E06000025,South Gloucestershire,3,Tank or bottled gas only,1257
E06000025,South Gloucestershire,4,Electric only,8640
E06000025,South Gloucestershire,5,Oil only,4652
E06000025,South Gloucestershire,6,Wood only,147
E06000025,South Gloucestershire,7,Solid fuel only,163
E06000025,South Gloucestershire,8,Renewable energy only,487
E06000025,South Gloucestershire,9,District or communal heat networks only,442
E06000025,South Gloucestershire,10,Other central heating only,507
E06000025,South Gloucestershire,11,Two or more types of central heating (not including renewable energy),8960
E06000025,South Gloucestershire,12,Two or more types of central heating (including renewable energy),690
E06000026,Plymouth,-9,Does not apply,0
E06000026,Plymouth,1,No central heating,2146
E06000026,Plymouth,2,Mains gas only,92634
E06000026,Plymouth,3,Tank or bottled gas only,501
E06000026,Plymouth,4,Electric only,8511
E06000026,Plymouth,5,Oil only,108
E06000026,Plymouth,6,Wood only,35
E06000026,Plymouth,7,Solid fuel only,46
E06000026,Plymouth,8,Renewable energy only,100
E06000026,Plymouth,9,District or communal heat networks only,426
E06000026,Plymouth,10,Other central heating only,808
E06000026,Plymouth,11,Two or more types of central heating (not including renewable energy),8596
E06000026,Plymouth,12,Two or more types of central heating (including renewable energy),647
E06000027,Torbay,-9,Does not apply,0
E06000027,Torbay,1,No central heating,1420
E06000027,Torbay,2,Mains gas only,47951
E06000027,Torbay,3,Tank or bottled gas only,269
E06000027,Torbay,4,Electric only,7518
E06000027,Torbay,5,Oil only,138
E06000027,Torbay,6,Wood only,36
E06000027,Torbay,7,Solid fuel only,20
E06000027,Torbay,8,Renewable energy only,87
E06000027,Torbay,9,District or communal heat networks only,296
E06000027,Torbay,10,Other central heating only,395
E06000027,Torbay,11,Two or more types of central heating (not including renewable energy),4592
E06000027,Torbay,12,Two or more types of central heating (including renewable energy),272
E06000030,Swindon,-9,Does not apply,0
