RegName,energy_cost,weight,aagph1819
Argyll and Bute,2153.764,177.76,
Shetland Islands,4049.056,38.82,
Aberdeenshire,8218.143999999998,454.17,
Fife,4199.752,399.59,
Moray,6937.102,223.01,
Na h-Eileanan Siar,7712.6320000000005,43.9,
"Edinburgh, City of",1408.474,464.12,
Na h-Eileanan Siar,3903.0219999999995,47.89,
South Lanarkshire,2098.324,420.42,
East Lothian,3721.078,207.83,
Dundee City,1408.474,302.69,
Na h-Eileanan Siar,7106.446000000001,48.9,
Highland,4924.126000000001,365.1,
Scottish Borders,7001.362,251.5,
Perth and Kinross,7522.372,234.56,
Orkney Islands,4471.534000000001,46.27,
South Ayrshire,1742.122,239.44,
Aberdeenshire,6674.518000000001,465.63,
Aberdeen City,1408.474,457.87,
East Lothian,2184.13,209.78,
Highland,7115.896000000001,398.29,
Na h-Eileanan Siar,1408.474,55.79,
Orkney Islands,4887.838000000001,47.24,
Na h-Eileanan Siar,1408.474,55.48,
Scottish Borders,2001.59694,268.79,
Aberdeenshire,2177.578,465.63,
South Lanarkshire,4257.838000000001,429.78,
Argyll and Bute,3682.774,180.9,
Aberdeen City,3018.502,492.7,
Orkney Islands,4669.354,43.0,
Argyll and Bute,4825.09,186.74,
Angus,7142.734000000001,270.6,
Na h-Eileanan Siar,4098.196000000001,45.14,
Dumfries and Galloway,6065.056,233.3,
Na h-Eileanan Siar,3139.084,52.83,
Shetland Islands,3328.966,36.7,
Na h-Eileanan Siar,1830.448,47.71,
Falkirk,3279.5739999999996,287.1,
"Edinburgh, City of",1459.882,385.64,
Moray,7430.518000000001,189.97,
Shetland Islands,5946.112,33.07,
Na h-Eileanan Siar,4331.296,47.89,
Scottish Borders,1776.646,365.0,
Orkney Islands,3161.1339999999996,50.48,
Aberdeenshire,1408.474,522.01,
Orkney Islands,6639.112,47.24,
Highland,8218.143999999998,326.3,
Shetland Islands,2397.92034,34.72,
Glasgow City,1504.738,461.49,
Shetland Islands,3369.6639999999998,33.88,
Highland,7275.916,335.31,
Na h-Eileanan Siar,3362.6079999999997,51.53,
Na h-Eileanan Siar,5923.306,46.4,
Orkney Islands,2461.96,43.74,
Argyll and Bute,3933.766,174.79,
Shetland Islands,4897.414,36.07,
Na h-Eileanan Siar,8218.143999999998,46.4,
Aberdeenshire,2931.436,420.51,
Na h-Eileanan Siar,6531.004,46.4,
Fife,1093.87442,371.34,
Highland,5262.184,427.01,
Na h-Eileanan Siar,2526.4719999999998,51.18,
Renfrewshire,1720.5760000000002,394.37,
Orkney Islands,4483.504,46.1,
Shetland Islands,4956.13,35.94,
Inverclyde,2332.306,179.91,
Dumfries and Galloway,8218.143999999998,289.56,
Moray,8218.143999999998,223.01,
Shetland Islands,5822.884000000001,38.82,
East Dunbartonshire,1408.474,199.24,
Dumfries and Galloway,3881.854,240.49,
Angus,3024.2980000000002,250.55,
Shetland Islands,2442.682,35.94,
Na h-Eileanan Siar,6177.448000000001,43.9,
Shetland Islands,5798.314,39.8,
Moray,8218.143999999998,200.05,
Dumfries and Galloway,2949.5799999999995,304.25,
Falkirk,2711.314,275.06,
Aberdeenshire,5396.374,477.39,
Orkney Islands,4469.518,40.24,
Na h-Eileanan Siar,1932.508,55.48,
Argyll and Bute,4106.89,158.99,
Highland,8218.143999999998,398.29,
South Ayrshire,8218.143999999998,213.04,
Orkney Islands,3391.966,42.53,
Stirling,4588.084,155.39,
East Lothian,5014.216,173.18,
Perth and Kinross,2286.064,294.08,
Aberdeen City,1408.474,332.23,
Shetland Islands,8218.143999999998,36.84,
Na h-Eileanan Siar,6493.078,52.83,
Na h-Eileanan Siar,5158.612,47.58,
Na h-Eileanan Siar,1408.474,53.15,
Na h-Eileanan Siar,3018.6279999999997,53.94,
Highland,2983.726,448.67,
Dundee City,1459.504,285.35,
Argyll and Bute,1686.682,187.11,
Shetland Islands,4574.098000000001,40.76,
East Renfrewshire,1740.106,182.32,
Midlothian,6995.566000000001,148.08,
Scottish Borders,2414.332,251.5,
Orkney Islands,8218.143999999998,47.24,
Argyll and Bute,2366.83,154.59,
West Lothian,2826.604,331.83,
Na h-Eileanan Siar,8218.143999999998,51.53,
Dundee City,3070.288,252.9,
Orkney Islands,5258.656000000001,40.24,
Shetland Islands,4059.6400000000003,32.94,
Shetland Islands,2821.564,39.8,
Midlothian,3790.378,129.63,
Moray,2439.91,189.97,
Aberdeen City,3941.326,366.53,
Highland,1428.508,463.23,
Angus,1727.3800000000003,285.87,
Moray,3797.1820000000002,189.97,
East Dunbartonshire,1427.8780000000002,186.24,
Aberdeenshire,8218.143999999998,397.89,
Shetland Islands,4457.4220000000005,33.88,
Highland,1768.3300000000002,440.26,
Scottish Borders,3127.744,281.41,
Moray,5288.392000000001,194.66,
Scottish Borders,4130.200000000001,257.7,
Highland,4103.488,365.1,
East Lothian,4232.512000000001,173.18,
Shetland Islands,6957.766000000001,35.71,
"Edinburgh, City of",1546.20716,420.69,
South Lanarkshire,2498.248,419.2,
Shetland Islands,8218.143999999998,38.82,
Shetland Islands,4083.4539999999993,33.07,
Orkney Islands,1408.474,60.04,
Na h-Eileanan Siar,4547.008000000001,46.4,
Na h-Eileanan Siar,8218.143999999998,47.89,
Dundee City,3839.1400000000003,268.26,
South Ayrshire,1408.474,178.67,
Na h-Eileanan Siar,7312.834000000001,47.89,
Highland,7482.934,365.1,
Glasgow City,2331.928,398.5,
Orkney Islands,2691.784,46.1,
South Lanarkshire,5325.562,422.08,
Dumfries and Galloway,1571.266,211.81,
Falkirk,4374.514,285.78,
Orkney Islands,6188.662,42.41,
Moray,8218.143999999998,249.53,
Na h-Eileanan Siar,6018.31,43.9,
Clackmannanshire,5818.222000000001,103.52,
Glasgow City,1009.3690999999999,461.49,
North Lanarkshire,1408.474,395.11,
Na h-Eileanan Siar,2898.802,53.94,
Shetland Islands,3596.086,35.94,
Orkney Islands,4083.076,43.74,
Na h-Eileanan Siar,3442.7439999999997,52.83,
Dumfries and Galloway,2246.752,220.45,
Shetland Islands,3530.944,39.8,
Orkney Islands,8218.143999999998,47.24,
Midlothian,6050.062,129.63,
Highland,3172.726,439.41,
Shetland Islands,5905.918000000001,34.01,
Inverclyde,1009.3690999999999,179.91,
North Lanarkshire,1015.81072,457.57,
Moray,1452.8260000000002,221.49,
"Edinburgh, City of",1408.474,452.69,
Highland,3241.522,401.29,
Perth and Kinross,5728.888000000001,282.3,
Shetland Islands,1970.686,34.85,
Orkney Islands,6950.962,40.24,
Na h-Eileanan Siar,6417.856000000001,43.9,
Orkney Islands,6449.482000000001,41.38,
Shetland Islands,2882.296,39.65,
Shetland Islands,5767.696,35.71,
Shetland Islands,3419.056,38.55,
Perth and Kinross,2997.712,236.64,
Na h-Eileanan Siar,3482.686,50.29,
Na h-Eileanan Siar,3348.2439999999997,53.94,
Inverclyde,1454.05924,196.27,
Scottish Borders,6157.792,295.24,
Dumfries and Galloway,3961.9900000000002,221.27,
Orkney Islands,3584.746,48.43,
Angus,2526.346,221.36,
Perth and Kinross,8218.143999999998,282.3,
East Renfrewshire,1703.0620000000001,230.34,
South Ayrshire,3742.246,181.48,
Orkney Islands,7569.370000000001,47.24,
East Ayrshire,6575.608000000001,195.26,
Moray,2824.714,256.32,
Midlothian,8218.143999999998,151.81,
Orkney Islands,7232.572000000001,47.24,
Argyll and Bute,1447.156,197.22,
"Edinburgh, City of",4661.164,407.6,
Highland,6815.008000000001,458.04,
Shetland Islands,8026.4980000000005,36.07,
Shetland Islands,5688.946,33.07,
Aberdeenshire,6571.828,386.89,
Orkney Islands,1974.214,43.46,
Shetland Islands,4120.624,33.07,
South Ayrshire,3343.708,185.96,
"Edinburgh, City of",1408.474,385.64,
Dumfries and Galloway,4985.992000000001,259.74,
Argyll and Bute,2446.084,177.76,
Dumfries and Galloway,3754.594,249.34,
East Ayrshire,1799.704,178.29,
Shetland Islands,3809.1519999999996,32.94,
Angus,2944.666,252.66,
Na h-Eileanan Siar,2855.0799999999995,48.25,
East Dunbartonshire,2862.2619999999997,235.29,
North Lanarkshire,1408.474,395.11,
Perth and Kinross,5851.8640000000005,234.56,
Shetland Islands,3148.282,39.8,
Highland,3369.1600000000003,349.74,
Orkney Islands,4542.472000000001,48.43,
Orkney Islands,4861.378000000001,40.24,
Perth and Kinross,4673.134000000001,234.56,
Highland,3686.302,401.29,
Orkney Islands,3139.462,47.24,
Highland,7047.1,398.29,
Clackmannanshire,3708.9819999999995,86.58,
Dumfries and Galloway,6858.856000000001,259.74,
Moray,8218.143999999998,194.66,
Argyll and Bute,1408.474,132.75,
Perth and Kinross,2029.1500000000003,309.46,
"Edinburgh, City of",1408.474,452.69,
North Lanarkshire,1848.0880000000002,395.11,
Shetland Islands,4315.6720000000005,33.07,
Moray,8218.143999999998,223.01,
North Lanarkshire,5197.924,455.35,
Na h-Eileanan Siar,8218.143999999998,51.53,
Stirling,4507.444,169.65,
Perth and Kinross,2691.5319999999997,294.28,
Na h-Eileanan Siar,6797.620000000001,47.89,
East Dunbartonshire,1408.474,215.68,
Glasgow City,3174.616,386.1,
Orkney Islands,8218.143999999998,43.9,
Angus,3709.234,236.77,
Orkney Islands,8218.143999999998,47.24,
Highland,4486.402,365.1,
Aberdeenshire,8218.143999999998,454.17,
Orkney Islands,1780.552,41.38,
Shetland Islands,2630.7999999999997,40.63,
Moray,3466.5579999999995,189.97,
Renfrewshire,1408.474,599.63,
Perth and Kinross,8218.143999999998,315.87,
Argyll and Bute,3951.532,180.9,
Aberdeenshire,2677.9239999999995,519.08,
Shetland Islands,2984.734,37.88,
Dundee City,1408.474,277.46,
Aberdeen City,1009.3690999999999,362.43,
Aberdeenshire,2596.402,485.38,
Dumfries and Galloway,5590.162,257.97,
Glasgow City,1866.32292,367.06,
Moray,8218.143999999998,207.25,
Aberdeen City,2054.854,346.78,
Na h-Eileanan Siar,7976.602,46.4,
Argyll and Bute,1548.0819999999999,225.19,
Moray,4325.626,238.34,
Na h-Eileanan Siar,8099.2,43.9,
Argyll and Bute,1562.824,186.74,
Highland,6063.67,428.59,
Highland,3943.72,458.04,
Aberdeen City,3804.742,492.7,
Orkney Islands,2790.19,47.24,
Perth and Kinross,5609.566,275.35,
Stirling,1642.96,200.12,
Argyll and Bute,2619.586,180.9,
"Edinburgh, City of",1408.474,396.6,
Moray,2508.58,194.66,
Argyll and Bute,1815.5800000000002,170.54,
