RegName,energy_cost,weight,aagph1819
Argyll and Bute,2571.4355,177.76,
Shetland Islands,4466.7275,38.82,
Aberdeenshire,8635.815499999999,454.17,
Fife,4617.4235,399.59,
Moray,7354.773499999999,223.01,
Na h-Eileanan Siar,8130.3035,43.9,
"Edinburgh, City of",1826.1454999999999,464.12,
Na h-Eileanan Siar,4320.693499999999,47.89,
South Lanarkshire,2515.9955,420.42,
East Lothian,4138.7495,207.83,
Dundee City,1826.1454999999999,302.69,
Na h-Eileanan Siar,7524.1175,48.9,
Highland,5341.797500000001,365.1,
Scottish Borders,7419.0335,251.5,
Perth and Kinross,7940.0435,234.56,
Orkney Islands,4889.2055,46.27,
South Ayrshire,2159.7934999999998,239.44,
Aberdeenshire,7092.1895,465.63,
Aberdeen City,1826.1454999999999,457.87,
East Lothian,2601.8015000000005,209.78,
Highland,7533.5675,398.29,
Na h-Eileanan Siar,1826.1454999999999,55.79,
Orkney Islands,5305.5095,47.24,
Na h-Eileanan Siar,1826.1454999999999,55.48,
Scottish Borders,2001.59694,268.79,
Aberdeenshire,2595.2495,465.63,
South Lanarkshire,4675.5095,429.78,
Argyll and Bute,4100.4455,180.9,
Aberdeen City,3436.1735,492.7,
Orkney Islands,5087.0255,43.0,
Argyll and Bute,5242.7615,186.74,
Angus,7560.405500000001,270.6,
Na h-Eileanan Siar,4515.8675,45.14,
Dumfries and Galloway,6482.727499999999,233.3,
Na h-Eileanan Siar,3556.7555,52.83,
Shetland Islands,3746.6375,36.7,
Na h-Eileanan Siar,2248.1195,47.71,
Falkirk,3697.2455,287.1,
"Edinburgh, City of",1877.5535,385.64,
Moray,7848.1895,189.97,
Shetland Islands,6363.7835,33.07,
Na h-Eileanan Siar,4748.9675,47.89,
Scottish Borders,2194.3175,365.0,
Orkney Islands,3578.8054999999995,50.48,
Aberdeenshire,1826.1454999999999,522.01,
Orkney Islands,7056.7835,47.24,
Highland,8635.815499999999,326.3,
Shetland Islands,2397.92034,34.72,
Glasgow City,1922.4095,461.49,
Shetland Islands,3787.3355,33.88,
Highland,7693.5875,335.31,
Na h-Eileanan Siar,3780.2794999999996,51.53,
Na h-Eileanan Siar,6340.977499999999,46.4,
Orkney Islands,2879.6315000000004,43.74,
Argyll and Bute,4351.4375,174.79,
Shetland Islands,5315.085499999999,36.07,
Na h-Eileanan Siar,8635.815499999999,46.4,
Aberdeenshire,3349.1075,420.51,
Na h-Eileanan Siar,6948.675499999999,46.4,
Fife,1093.87442,371.34,
Highland,5679.8555,427.01,
Na h-Eileanan Siar,2944.1435,51.18,
Renfrewshire,2138.2475000000004,394.37,
Orkney Islands,4901.175499999999,46.1,
Shetland Islands,5373.8015,35.94,
Inverclyde,2749.9775,179.91,
Dumfries and Galloway,8635.815499999999,289.56,
Moray,8635.815499999999,223.01,
Shetland Islands,6240.5555,38.82,
East Dunbartonshire,1826.1454999999999,199.24,
Dumfries and Galloway,4299.5255,240.49,
Angus,3441.9695,250.55,
Shetland Islands,2860.3535,35.94,
Na h-Eileanan Siar,6595.119500000001,43.9,
Shetland Islands,6215.9855,39.8,
Moray,8635.815499999999,200.05,
Dumfries and Galloway,3367.2514999999994,304.25,
Falkirk,3128.9855,275.06,
Aberdeenshire,5814.045499999999,477.39,
Orkney Islands,4887.1894999999995,40.24,
Na h-Eileanan Siar,2350.1795,55.48,
Argyll and Bute,4524.561500000001,158.99,
