RegName,energy_cost,weight
Highland,6338.130749999999,401.29
Perth and Kinross,5422.1597,282.3
Shetland Islands,3651.357886363636,34.85
Orkney Islands,7016.109399999999,40.24
Na h-Eileanan Siar,6458.463600000001,43.9
Orkney Islands,6491.5454,41.38
Shetland Islands,5578.6632272727265,39.65
Shetland Islands,5956.3741199999995,35.71
Shetland Islands,6713.469136363636,38.55
Perth and Kinross,5822.673136363635,236.64
Na h-Eileanan Siar,6847.994250000001,50.29
Na h-Eileanan Siar,6563.76,53.94
Inverclyde,1454.05924,196.27
Scottish Borders,12503.643136363637,295.24
Dumfries and Galloway,7861.3279772727265,221.27
Orkney Islands,3494.9406,48.43
Angus,4826.12175,221.36
Perth and Kinross,8341.622,282.3
East Renfrewshire,3085.55325,230.34
South Ayrshire,3659.6906,181.48
Orkney Islands,7662.983799999999,47.24
East Ayrshire,13386.980318181817,195.26
Moray,5456.924659090909,256.32
Midlothian,8341.622,151.81
Orkney Islands,7310.6824,47.24
Argyll and Bute,2544.5225454545453,197.22
"Edinburgh, City of",9339.505909090907,407.6
Highland,6873.8972,458.04
Shetland Islands,8141.154199999999,36.07
Shetland Islands,5696.000599999999,33.07
Aberdeenshire,6619.5232,386.89
Orkney Islands,3658.8167045454547,43.46
Shetland Islands,4055.486,33.07
South Ayrshire,3242.8071999999997,185.96
"Edinburgh, City of",2462.7419318181815,385.64
Dumfries and Galloway,4486.20606,259.74
Argyll and Bute,2303.864,177.76
Dumfries and Galloway,3321.327697058824,249.34
East Ayrshire,3289.871590909091,178.29
Shetland Islands,3729.6763999999994,32.94
Angus,5710.5244772727265,252.66
Na h-Eileanan Siar,5521.123772727273,48.25
East Dunbartonshire,5536.307795454545,235.29
North Lanarkshire,2462.7419318181815,395.11
Perth and Kinross,5543.7205,234.56
Shetland Islands,6141.0048409090905,39.8
Highland,6607.980136363636,349.74
Orkney Islands,4496.7524,48.43
Orkney Islands,4830.3382,40.24
Perth and Kinross,4378.555249999999,234.56
Highland,3601.1713999999993,401.29
Orkney Islands,6122.357795454545,47.24
Highland,6725.2018,398.29
Clackmannanshire,3425.4986499999995,86.58
Dumfries and Galloway,6919.7636,259.74
Moray,16859.592954545453,194.66
Argyll and Bute,2462.7419318181815,132.75
Perth and Kinross,3774.961159090909,309.46
"Edinburgh, City of",2462.7419318181815,452.69
North Lanarkshire,3392.1639545454545,395.11
Shetland Islands,4259.5124,33.07
Moray,8341.622,223.01
North Lanarkshire,5182.376,455.35
Na h-Eileanan Siar,8341.622,51.53
Stirling,4214.772,169.65
Perth and Kinross,5175.3542727272725,294.28
Na h-Eileanan Siar,6855.708799999999,47.89
East Dunbartonshire,2462.7419318181815,215.68
Glasgow City,6196.679590909091,386.1
Orkney Islands,8341.622,43.9
Angus,3625.1589999999997,236.77
Orkney Islands,8341.622,47.24
Highland,8970.028022727272,365.1
Aberdeenshire,8341.622,454.17
Orkney Islands,3249.3808636363638,41.38
Shetland Islands,5046.956045454545,40.63
Moray,6813.896795454545,189.97
Renfrewshire,2462.7419318181815,599.63
Perth and Kinross,8341.622,315.87
Argyll and Bute,3998.0880799999995,180.9
Aberdeenshire,5146.584545454544,519.08
Shetland Islands,5795.23534090909,37.88
Dundee City,2462.7419318181815,277.46
Aberdeen City,1009.3690999999999,362.43
Aberdeenshire,4974.232568181818,485.38
Dumfries and Galloway,5764.94738,257.97
Glasgow City,1866.32292,367.06
Moray,7882.7695,207.25
Aberdeen City,3829.303977272727,346.78
Na h-Eileanan Siar,8088.9614,46.4
Argyll and Bute,1234.01061,225.19
Moray,4035.04635,238.34
Na h-Eileanan Siar,8217.2028,43.9
Argyll and Bute,2789.065227272727,186.74
Highland,12304.652522727272,428.59
Highland,3870.4387999999994,458.04
Aberdeen City,7528.877795454546,492.7
Orkney Islands,5383.934795454546,47.24
Perth and Kinross,5612.9666,275.35
Stirling,2958.4869545454544,200.12
Argyll and Bute,5023.247659090909,180.9
"Edinburgh, City of",2462.7419318181815,396.6
