RegName,energy_cost,weight,aagph1819
Argyll and Bute,1800.288,177.76,
Shetland Islands,2874.2868000000003,38.82,
Aberdeenshire,5236.77,454.17,
Fife,2959.6812,399.59,
Moray,4510.8462,223.01,
Na h-Eileanan Siar,4950.3132000000005,43.9,
"Edinburgh, City of",1377.957,464.12,
Na h-Eileanan Siar,2791.5342000000005,47.89,
South Lanarkshire,1768.8720000000003,420.42,
East Lothian,2688.4326,207.83,
Dundee City,1377.957,302.69,
Na h-Eileanan Siar,4606.8078000000005,48.9,
Highland,3370.1598000000004,365.1,
Scottish Borders,4547.260200000001,251.5,
Perth and Kinross,4842.4992,234.56,
Orkney Islands,3113.6910000000003,46.27,
South Ayrshire,1567.0242,239.44,
Aberdeenshire,4362.0486,465.63,
Aberdeen City,1377.957,457.87,
East Lothian,1817.4954000000002,209.78,
Highland,4612.1628,398.29,
Na h-Eileanan Siar,1377.957,55.79,
Orkney Islands,3349.5966000000003,47.24,
Na h-Eileanan Siar,1377.957,55.48,
Scottish Borders,1075.04712,268.79,
Aberdeenshire,1813.7826000000002,465.63,
South Lanarkshire,2992.5966000000003,429.78,
Argyll and Bute,2666.7270000000003,180.9,
Aberdeen City,2290.3062,492.7,
Orkney Islands,3225.789,43.0,
Argyll and Bute,3314.0394,186.74,
Angus,4627.371000000001,270.6,
Na h-Eileanan Siar,2902.1328000000003,45.14,
Dumfries and Galloway,4016.6868000000004,233.3,
Na h-Eileanan Siar,2358.636,52.83,
Shetland Islands,2466.2358000000004,36.7,
Na h-Eileanan Siar,1617.0756000000001,47.71,
Falkirk,2438.2470000000003,287.1,
"Edinburgh, City of",1407.0882000000001,385.64,
Moray,4790.4486,189.97,
Shetland Islands,3949.2852000000007,33.07,
Na h-Eileanan Siar,3034.2228,47.89,
Scottish Borders,1586.5878000000002,365.0,
Orkney Islands,2371.1310000000003,50.48,
Aberdeenshire,1377.957,522.01,
Orkney Islands,4341.9852,47.24,
Highland,5236.77,326.3,
Shetland Islands,1287.91032,34.72,
Glasgow City,1432.5066000000002,461.49,
Shetland Islands,2489.2980000000002,33.88,
Highland,4702.8408,335.31,
Na h-Eileanan Siar,2485.2996000000003,51.53,
Na h-Eileanan Siar,3936.3618000000006,46.4,
Orkney Islands,1974.9324000000001,43.74,
Argyll and Bute,2808.9558,174.79,
Shetland Islands,3355.0230000000006,36.07,
Na h-Eileanan Siar,5236.77,46.4,
Aberdeenshire,2240.9688000000006,420.51,
Na h-Eileanan Siar,4280.724,46.4,
Fife,587.51416,371.34,
Highland,3561.726,427.01,
Na h-Eileanan Siar,2011.4892,51.18,
Renfrewshire,1554.8148,394.37,
Orkney Islands,3120.474,46.1,
Shetland Islands,3388.2954000000004,35.94,
Inverclyde,1901.4618,179.91,
Dumfries and Galloway,5236.77,289.56,
Moray,5236.77,223.01,
Shetland Islands,3879.4560000000006,38.82,
East Dunbartonshire,1377.957,199.24,
Dumfries and Galloway,2779.539,240.49,
Angus,2293.5906000000004,250.55,
Shetland Islands,1964.0082000000002,35.94,
Na h-Eileanan Siar,4080.3756000000008,43.9,
Shetland Islands,3865.533,39.8,
Moray,5236.77,200.05,
Dumfries and Galloway,2251.2504,304.25,
Falkirk,2116.233,275.06,
Aberdeenshire,3637.7670000000003,477.39,
Orkney Islands,3112.5486000000005,40.24,
Na h-Eileanan Siar,1674.9096000000002,55.48,
Argyll and Bute,2907.0594,158.99,
Highland,5236.77,398.29,
South Ayrshire,5236.77,213.04,
Orkney Islands,2501.9358,42.53,
Stirling,3179.7360000000003,155.39,
East Lothian,3421.2108000000003,173.18,
Perth and Kinross,1875.258,294.08,
Aberdeen City,1377.957,332.23,
Shetland Islands,5236.77,36.84,
Na h-Eileanan Siar,4259.2326,52.83,
Na h-Eileanan Siar,3503.0352,47.58,
Na h-Eileanan Siar,1377.957,53.15,
Na h-Eileanan Siar,2290.3776000000003,53.94,
Highland,2270.5998,448.67,
Dundee City,1406.874,285.35,
Argyll and Bute,1535.6082000000001,187.11,
Shetland Islands,3171.8106000000002,40.76,
East Renfrewshire,1565.8818,182.32,
Midlothian,4543.9758,148.08,
Scottish Borders,1947.9432000000002,251.5,
Orkney Islands,5236.77,47.24,
Argyll and Bute,1921.0254000000002,154.59,
West Lothian,2181.5640000000003,331.83,
Na h-Eileanan Siar,5236.77,51.53,
Dundee City,2319.6516,252.9,
Orkney Islands,3559.7268000000004,40.24,
Shetland Islands,2880.2844,32.94,
Shetland Islands,2178.708,39.8,
Midlothian,2727.7026000000005,129.63,
Moray,1962.4374000000003,189.97,
Aberdeen City,2813.2398000000003,366.53,
Highland,1389.3096,463.23,
Angus,1558.6704000000002,285.87,
Moray,2731.5582000000004,189.97,
East Dunbartonshire,1388.9526,186.24,
Aberdeenshire,5236.77,397.89,
Shetland Islands,3105.6942000000004,33.88,
Highland,1581.8754000000001,440.26,
Scottish Borders,2352.21,281.41,
Moray,3576.5772,194.66,
Scottish Borders,2920.2684000000004,257.7,
Highland,2905.1316,365.1,
East Lothian,2978.2452,173.18,
Shetland Islands,4522.5558,35.71,
"Edinburgh, City of",830.4596799999999,420.69,
South Lanarkshire,1995.4956000000002,419.2,
Shetland Islands,5236.77,38.82,
Shetland Islands,2893.779,33.07,
Orkney Islands,1377.957,60.04,
Na h-Eileanan Siar,3156.4596,46.4,
Na h-Eileanan Siar,5236.77,47.89,
Dundee City,2755.3344,268.26,
South Ayrshire,1377.957,178.67,
Na h-Eileanan Siar,4723.761,47.89,
Highland,4820.151,365.1,
Glasgow City,1901.2476000000001,398.5,
Orkney Islands,2105.166,46.1,
South Lanarkshire,3597.6402000000003,422.08,
Dumfries and Galloway,1470.2058000000002,211.81,
Falkirk,3058.713,285.78,
Orkney Islands,4086.7302000000004,42.41,
Moray,5236.77,249.53,
Na h-Eileanan Siar,3990.1974000000005,43.9,
Clackmannanshire,3876.8142000000003,103.52,
Glasgow City,542.1268,461.49,
North Lanarkshire,1377.957,395.11,
Na h-Eileanan Siar,2222.4762,53.94,
Shetland Islands,2617.6038000000003,35.94,
Orkney Islands,2893.5648,43.74,
Na h-Eileanan Siar,2530.71,52.83,
Dumfries and Galloway,1852.9812000000002,220.45,
Shetland Islands,2580.69,39.8,
Orkney Islands,5236.77,47.24,
Midlothian,4008.1902000000005,129.63,
Highland,2377.6998000000003,439.41,
Shetland Islands,3926.5086000000006,34.01,
Inverclyde,542.1268,179.91,
North Lanarkshire,545.58656,457.57,
Moray,1403.0898000000002,221.49,
"Edinburgh, City of",1377.957,452.69,
Highland,2416.6842,401.29,
Perth and Kinross,3826.1916,282.3,
Shetland Islands,1696.5438,34.85,
Orkney Islands,4518.700199999999,40.24,
Na h-Eileanan Siar,4216.6068,43.9,
Orkney Islands,4234.528200000001,41.38,
Shetland Islands,2213.1228,39.65,
Shetland Islands,3848.1828,35.71,
Shetland Islands,2517.2868000000003,38.55,
Perth and Kinross,2278.5252,236.64,
Na h-Eileanan Siar,2553.3438,50.29,
Na h-Eileanan Siar,2477.1600000000003,53.94,
Inverclyde,780.96752,196.27,
Scottish Borders,4069.2372,295.24,
Dumfries and Galloway,2824.9494000000004,221.27,
Orkney Islands,2611.1778,48.43,
Angus,2011.4178000000002,221.36,
Perth and Kinross,5236.77,282.3,
East Renfrewshire,1544.8902,230.34,
South Ayrshire,2700.4278,181.48,
Orkney Islands,4869.1314,47.24,
East Ayrshire,4305.999600000001,195.26,
Moray,2180.4930000000004,256.32,
Midlothian,5236.77,151.81,
Orkney Islands,4678.279200000001,47.24,
Argyll and Bute,1399.8768,197.22,
"Edinburgh, City of",3221.1480000000006,407.6,
Highland,4441.659600000001,458.04,
Shetland Islands,5128.1705999999995,36.07,
Shetland Islands,3803.5578,33.07,
Aberdeenshire,4303.857600000001,386.89,
Orkney Islands,1698.5430000000001,43.46,
Shetland Islands,2914.842,33.07,
South Ayrshire,2474.5896000000002,185.96,
"Edinburgh, City of",1377.957,385.64,
Dumfries and Galloway,3405.2172000000005,259.74,
Argyll and Bute,1965.9360000000001,177.76,
Dumfries and Galloway,2707.425,249.34,
East Ayrshire,1599.654,178.29,
Shetland Islands,2738.3412000000003,32.94,
Angus,2248.4658,252.66,
Na h-Eileanan Siar,2197.7004,48.25,
East Dunbartonshire,2201.7702,235.29,
North Lanarkshire,1377.957,395.11,
Perth and Kinross,3895.878,234.56,
Shetland Islands,2363.8482000000004,39.8,
Highland,2489.0124,349.74,
Orkney Islands,3153.8892,48.43,
Orkney Islands,3334.6025999999997,40.24,
Perth and Kinross,3227.9310000000005,234.56,
Highland,2668.7262,401.29,
Orkney Islands,2358.8502000000003,47.24,
Highland,4573.178400000001,398.29,
Clackmannanshire,2681.5782000000004,86.58,
Dumfries and Galloway,4466.506800000001,259.74,
Moray,5236.77,194.66,
