RegName,energy_cost,weight
North Lanarkshire,545.58656,457.57
Moray,1403.7793636363635,221.49
"Edinburgh, City of",1352.2913636363635,452.69
Highland,3480.2669999999994,401.29
Perth and Kinross,3617.530286666666,282.3
Shetland Islands,2004.9602727272725,34.85
Orkney Islands,3955.2119000000002,40.24
Na h-Eileanan Siar,3640.8486000000003,43.9
Orkney Islands,3659.4979,41.38
Shetland Islands,3063.2434545454544,39.65
Shetland Islands,3847.3985520000006,35.71
Shetland Islands,3686.365272727272,38.55
Perth and Kinross,3197.229272727272,236.64
Na h-Eileanan Siar,3760.2329999999993,50.29
Na h-Eileanan Siar,3604.16,53.94
Inverclyde,780.96752,196.27
Scottish Borders,6865.749272727273,295.24
Dumfries and Galloway,4316.654454545454,221.27
Orkney Islands,1970.2131,48.43
Angus,2650.0229999999992,221.36
Perth and Kinross,4702.447,282.3
East Renfrewshire,1694.2769999999998,230.34
South Ayrshire,2063.0881,181.48
Orkney Islands,4319.8763,47.24
East Ayrshire,7350.7896363636355,195.26
Moray,2996.3968181818177,256.32
Midlothian,4702.447,151.81
Orkney Islands,4121.2724,47.24
Argyll and Bute,1397.1970909090908,197.22
"Edinburgh, City of",5128.321818181817,407.6
Highland,3875.0422,458.04
Shetland Islands,4589.4367,36.07
Shetland Islands,3211.0231000000003,33.07
Aberdeenshire,3731.6432000000004,386.89
Orkney Islands,2009.0559090909087,43.46
Shetland Islands,2286.211,33.07
South Ayrshire,1828.0772000000002,185.96
"Edinburgh, City of",1352.2913636363635,385.64
Dumfries and Galloway,2983.3428599999997,259.74
Argyll and Bute,1298.764,177.76
Dumfries and Galloway,2208.694638235294,249.34
East Ayrshire,1806.4681818181814,178.29
Shetland Islands,2102.5414,32.94
Angus,3135.648454545454,252.66
Na h-Eileanan Siar,3031.648545454545,48.25
East Dunbartonshire,3039.9860909090903,235.29
North Lanarkshire,1352.2913636363635,395.11
Perth and Kinross,3698.6326333333327,234.56
Shetland Islands,3372.0251818181814,39.8
Highland,3628.441272727272,349.74
Orkney Islands,2534.9674,48.43
Orkney Islands,2723.0207,40.24
Perth and Kinross,2921.2633166666665,234.56
Highland,2030.0989,401.29
Orkney Islands,3361.7860909090905,47.24
Highland,4486.887613333333,398.29
Clackmannanshire,2285.407623333333,86.58
Dumfries and Galloway,3900.8985999999995,259.74
Moray,9257.600909090908,194.66
Argyll and Bute,1352.2913636363635,132.75
Perth and Kinross,2072.830818181818,309.46
"Edinburgh, City of",1352.2913636363635,452.69
North Lanarkshire,1862.6369090909088,395.11
Shetland Islands,2401.2273999999998,33.07
Moray,4702.447,223.01
North Lanarkshire,2921.476,455.35
Na h-Eileanan Siar,4702.447,51.53
Stirling,2811.9911999999995,169.65
Perth and Kinross,2841.786545454545,294.28
Na h-Eileanan Siar,3864.7888000000003,47.89
East Dunbartonshire,1352.2913636363635,215.68
Glasgow City,3402.5961818181813,386.1
Orkney Islands,4702.447,43.9
Angus,2043.6215000000002,236.77
Orkney Islands,4702.447,47.24
Highland,4925.441545454545,365.1
