RegName,energy_cost,weight,aagph1819
Argyll and Bute,1859.2735,177.76,
Shetland Islands,2933.2723000000005,38.82,
Aberdeenshire,5295.755500000001,454.17,
Fife,3018.6666999999998,399.59,
Moray,4569.831700000001,223.01,
Na h-Eileanan Siar,5009.2987,43.9,
"Edinburgh, City of",1436.9425,464.12,
Na h-Eileanan Siar,2850.5197000000007,47.89,
South Lanarkshire,1827.8575000000003,420.42,
East Lothian,2747.4181,207.83,
Dundee City,1436.9425,302.69,
Na h-Eileanan Siar,4665.7933,48.9,
Highland,3429.1453,365.1,
Scottish Borders,4606.2457,251.5,
Perth and Kinross,4901.484700000001,234.56,
Orkney Islands,3172.6765000000005,46.27,
South Ayrshire,1626.0097,239.44,
Aberdeenshire,4421.0341,465.63,
Aberdeen City,1436.9425,457.87,
East Lothian,1876.4809000000002,209.78,
Highland,4671.148300000001,398.29,
Na h-Eileanan Siar,1436.9425,55.79,
Orkney Islands,3408.5821000000005,47.24,
Na h-Eileanan Siar,1436.9425,55.48,
Scottish Borders,1075.04712,268.79,
Aberdeenshire,1872.7681000000002,465.63,
South Lanarkshire,3051.5821000000005,429.78,
Argyll and Bute,2725.7125000000005,180.9,
Aberdeen City,2349.2916999999998,492.7,
Orkney Islands,3284.7745000000004,43.0,
Argyll and Bute,3373.0249000000003,186.74,
Angus,4686.356500000001,270.6,
Na h-Eileanan Siar,2961.1183,45.14,
Dumfries and Galloway,4075.6723,233.3,
Na h-Eileanan Siar,2417.6215,52.83,
Shetland Islands,2525.2213,36.7,
Na h-Eileanan Siar,1676.0611000000001,47.71,
Falkirk,2497.2325,287.1,
"Edinburgh, City of",1466.0737,385.64,
Moray,4849.4341,189.97,
Shetland Islands,4008.270700000001,33.07,
Na h-Eileanan Siar,3093.2083000000002,47.89,
Scottish Borders,1645.5733,365.0,
Orkney Islands,2430.1165,50.48,
Aberdeenshire,1436.9425,522.01,
Orkney Islands,4400.9707,47.24,
Highland,5295.755500000001,326.3,
Shetland Islands,1287.91032,34.72,
Glasgow City,1491.4921000000002,461.49,
Shetland Islands,2548.2835000000005,33.88,
Highland,4761.826300000001,335.31,
Na h-Eileanan Siar,2544.2851,51.53,
Na h-Eileanan Siar,3995.3473000000004,46.4,
Orkney Islands,2033.9179000000001,43.74,
Argyll and Bute,2867.9413000000004,174.79,
Shetland Islands,3414.008500000001,36.07,
Na h-Eileanan Siar,5295.755500000001,46.4,
Aberdeenshire,2299.9543000000003,420.51,
Na h-Eileanan Siar,4339.709500000001,46.4,
Fife,587.51416,371.34,
Highland,3620.7115000000003,427.01,
Na h-Eileanan Siar,2070.4746999999998,51.18,
Renfrewshire,1613.8003,394.37,
Orkney Islands,3179.4595,46.1,
Shetland Islands,3447.2809000000007,35.94,
Inverclyde,1960.4473,179.91,
Dumfries and Galloway,5295.755500000001,289.56,
Moray,5295.755500000001,223.01,
Shetland Islands,3938.441500000001,38.82,
East Dunbartonshire,1436.9425,199.24,
Dumfries and Galloway,2838.5245000000004,240.49,
Angus,2352.5761,250.55,
Shetland Islands,2022.9937000000002,35.94,
Na h-Eileanan Siar,4139.361100000001,43.9,
Shetland Islands,3924.5185,39.8,
Moray,5295.755500000001,200.05,
Dumfries and Galloway,2310.2359,304.25,
Falkirk,2175.2185,275.06,
Aberdeenshire,3696.7525000000005,477.39,
Orkney Islands,3171.5341000000008,40.24,
Na h-Eileanan Siar,1733.8951000000002,55.48,
Argyll and Bute,2966.0449,158.99,
Highland,5295.755500000001,398.29,
South Ayrshire,5295.755500000001,213.04,
Orkney Islands,2560.9213,42.53,
Stirling,3238.7215000000006,155.39,
East Lothian,3480.1963000000005,173.18,
Perth and Kinross,1934.2435,294.08,
Aberdeen City,1436.9425,332.23,
Shetland Islands,5295.755500000001,36.84,
Na h-Eileanan Siar,4318.2181,52.83,
Na h-Eileanan Siar,3562.0207,47.58,
Na h-Eileanan Siar,1436.9425,53.15,
Na h-Eileanan Siar,2349.3631000000005,53.94,
Highland,2329.5853,448.67,
Dundee City,1465.8595,285.35,
Argyll and Bute,1594.5937,187.11,
Shetland Islands,3230.7961000000005,40.76,
East Renfrewshire,1624.8673000000001,182.32,
Midlothian,4602.961300000001,148.08,
Scottish Borders,2006.9287000000002,251.5,
Orkney Islands,5295.755500000001,47.24,
Argyll and Bute,1980.0109000000002,154.59,
West Lothian,2240.5495,331.83,
Na h-Eileanan Siar,5295.755500000001,51.53,
Dundee City,2378.6371,252.9,
Orkney Islands,3618.7123,40.24,
Shetland Islands,2939.2699000000002,32.94,
Shetland Islands,2237.6935000000003,39.8,
Midlothian,2786.6881000000003,129.63,
Moray,2021.4229000000003,189.97,
Aberdeen City,2872.2253,366.53,
Highland,1448.2951,463.23,
Angus,1617.6559000000002,285.87,
Moray,2790.5437,189.97,
East Dunbartonshire,1447.9381,186.24,
Aberdeenshire,5295.755500000001,397.89,
Shetland Islands,3164.6797000000006,33.88,
Highland,1640.8609000000001,440.26,
Scottish Borders,2411.1955000000003,281.41,
Moray,3635.5627000000004,194.66,
Scottish Borders,2979.2539000000006,257.7,
Highland,2964.1171000000004,365.1,
East Lothian,3037.2307,173.18,
Shetland Islands,4581.541300000001,35.71,
"Edinburgh, City of",830.4596799999999,420.69,
South Lanarkshire,2054.4811,419.2,
Shetland Islands,5295.755500000001,38.82,
Shetland Islands,2952.7645,33.07,
Orkney Islands,1436.9425,60.04,
Na h-Eileanan Siar,3215.4451,46.4,
Na h-Eileanan Siar,5295.755500000001,47.89,
Dundee City,2814.3199000000004,268.26,
South Ayrshire,1436.9425,178.67,
Na h-Eileanan Siar,4782.7465,47.89,
Highland,4879.1365000000005,365.1,
Glasgow City,1960.2331000000001,398.5,
Orkney Islands,2164.1515,46.1,
South Lanarkshire,3656.6257000000005,422.08,
Dumfries and Galloway,1529.1913,211.81,
Falkirk,3117.6985000000004,285.78,
Orkney Islands,4145.715700000001,42.41,
Moray,5295.755500000001,249.53,
Na h-Eileanan Siar,4049.1829000000007,43.9,
Clackmannanshire,3935.7997000000005,103.52,
Glasgow City,542.1268,461.49,
North Lanarkshire,1436.9425,395.11,
Na h-Eileanan Siar,2281.4617000000003,53.94,
Shetland Islands,2676.5893000000005,35.94,
Orkney Islands,2952.5503,43.74,
Na h-Eileanan Siar,2589.6955000000003,52.83,
Dumfries and Galloway,1911.9667000000002,220.45,
Shetland Islands,2639.6755000000003,39.8,
Orkney Islands,5295.755500000001,47.24,
Midlothian,4067.1757000000007,129.63,
Highland,2436.6853,439.41,
Shetland Islands,3985.494100000001,34.01,
Inverclyde,542.1268,179.91,
North Lanarkshire,545.58656,457.57,
Moray,1462.0753,221.49,
"Edinburgh, City of",1436.9425,452.69,
Highland,2475.6697000000004,401.29,
Perth and Kinross,3885.1771,282.3,
Shetland Islands,1755.5293000000001,34.85,
Orkney Islands,4577.6857,40.24,
Na h-Eileanan Siar,4275.5923,43.9,
Orkney Islands,4293.5137,41.38,
Shetland Islands,2272.1083,39.65,
