RegName,energy_cost,weight,aagph1819
Argyll and Bute,2628.0240000000003,177.76,
Shetland Islands,4523.316000000001,38.82,
Aberdeenshire,8692.403999999999,454.17,
Fife,4674.012000000001,399.59,
Moray,7411.361999999999,223.01,
Na h-Eileanan Siar,8186.892,43.9,
"Edinburgh, City of",1882.734,464.12,
Na h-Eileanan Siar,4377.281999999999,47.89,
South Lanarkshire,2572.5840000000003,420.42,
East Lothian,4195.338,207.83,
Dundee City,1882.734,302.69,
Na h-Eileanan Siar,7580.706,48.9,
Highland,5398.386,365.1,
Scottish Borders,7475.621999999999,251.5,
Perth and Kinross,7996.632,234.56,
Orkney Islands,4945.794,46.27,
South Ayrshire,2216.382,239.44,
Aberdeenshire,7148.778,465.63,
Aberdeen City,1882.734,457.87,
East Lothian,2658.3900000000003,209.78,
Highland,7590.156000000001,398.29,
Na h-Eileanan Siar,1882.734,55.79,
Orkney Islands,5362.098,47.24,
Na h-Eileanan Siar,1882.734,55.48,
Scottish Borders,2001.59694,268.79,
Aberdeenshire,2651.838,465.63,
South Lanarkshire,4732.098,429.78,
Argyll and Bute,4157.034,180.9,
Aberdeen City,3492.762,492.7,
Orkney Islands,5143.614,43.0,
Argyll and Bute,5299.35,186.74,
Angus,7616.994000000001,270.6,
Na h-Eileanan Siar,4572.456,45.14,
Dumfries and Galloway,6539.315999999999,233.3,
Na h-Eileanan Siar,3613.344,52.83,
Shetland Islands,3803.226,36.7,
Na h-Eileanan Siar,2304.708,47.71,
Falkirk,3753.834,287.1,
"Edinburgh, City of",1934.142,385.64,
Moray,7904.778,189.97,
Shetland Islands,6420.371999999999,33.07,
Na h-Eileanan Siar,4805.5560000000005,47.89,
Scottish Borders,2250.906,365.0,
Orkney Islands,3635.394,50.48,
Aberdeenshire,1882.734,522.01,
Orkney Islands,7113.371999999999,47.24,
Highland,8692.403999999999,326.3,
Shetland Islands,2397.92034,34.72,
Glasgow City,1978.998,461.49,
Shetland Islands,3843.924,33.88,
Highland,7750.1759999999995,335.31,
Na h-Eileanan Siar,3836.868,51.53,
Na h-Eileanan Siar,6397.565999999999,46.4,
Orkney Islands,2936.2200000000003,43.74,
Argyll and Bute,4408.026,174.79,
Shetland Islands,5371.673999999999,36.07,
Na h-Eileanan Siar,8692.403999999999,46.4,
Aberdeenshire,3405.6960000000004,420.51,
Na h-Eileanan Siar,7005.263999999999,46.4,
Fife,1093.87442,371.34,
Highland,5736.4439999999995,427.01,
Na h-Eileanan Siar,3000.732,51.18,
Renfrewshire,2194.8360000000002,394.37,
Orkney Islands,4957.763999999999,46.1,
Shetland Islands,5430.389999999999,35.94,
Inverclyde,2806.5660000000003,179.91,
Dumfries and Galloway,8692.403999999999,289.56,
Moray,8692.403999999999,223.01,
Shetland Islands,6297.144,38.82,
East Dunbartonshire,1882.734,199.24,
Dumfries and Galloway,4356.114,240.49,
Angus,3498.5580000000004,250.55,
Shetland Islands,2916.942,35.94,
Na h-Eileanan Siar,6651.7080000000005,43.9,
Shetland Islands,6272.5740000000005,39.8,
Moray,8692.403999999999,200.05,
Dumfries and Galloway,3423.8399999999997,304.25,
Falkirk,3185.574,275.06,
Aberdeenshire,5870.634,477.39,
Orkney Islands,4943.778,40.24,
Na h-Eileanan Siar,2406.768,55.48,
Argyll and Bute,4581.150000000001,158.99,
Highland,8692.403999999999,398.29,
South Ayrshire,8692.403999999999,213.04,
Orkney Islands,3866.226,42.53,
Stirling,5062.343999999999,155.39,
East Lothian,5488.476000000001,173.18,
Perth and Kinross,2760.324,294.08,
Aberdeen City,1882.734,332.23,
Shetland Islands,8692.403999999999,36.84,
Na h-Eileanan Siar,6967.338,52.83,
Na h-Eileanan Siar,5632.871999999999,47.58,
Na h-Eileanan Siar,1882.734,53.15,
Na h-Eileanan Siar,3492.888,53.94,
Highland,3457.9860000000003,448.67,
Dundee City,1933.764,285.35,
Argyll and Bute,2160.942,187.11,
Shetland Islands,5048.358,40.76,
