RegName,energy_cost,weight,aagph1819
Argyll and Bute,1370.4295,177.76,
Shetland Islands,2444.4283000000005,38.82,
Aberdeenshire,4806.911500000001,454.17,
Fife,2529.8226999999997,399.59,
Moray,4080.9877000000006,223.01,
Na h-Eileanan Siar,4520.4547,43.9,
"Edinburgh, City of",948.0985000000001,464.12,
Na h-Eileanan Siar,2361.6757000000007,47.89,
South Lanarkshire,1339.0135000000002,420.42,
East Lothian,2258.5741,207.83,
Dundee City,948.0985000000001,302.69,
Na h-Eileanan Siar,4176.9493,48.9,
Highland,2940.3013,365.1,
Scottish Borders,4117.4017,251.5,
Perth and Kinross,4412.640700000001,234.56,
Orkney Islands,2683.8325000000004,46.27,
South Ayrshire,1137.1657,239.44,
Aberdeenshire,3932.1901,465.63,
Aberdeen City,948.0985000000001,457.87,
East Lothian,1387.6369000000002,209.78,
Highland,4182.304300000001,398.29,
Na h-Eileanan Siar,948.0985000000001,55.79,
Orkney Islands,2919.7381000000005,47.24,
Na h-Eileanan Siar,948.0985000000001,55.48,
Scottish Borders,1075.04712,268.79,
Aberdeenshire,1383.9241000000002,465.63,
South Lanarkshire,2562.7381000000005,429.78,
Argyll and Bute,2236.8685000000005,180.9,
Aberdeen City,1860.4477,492.7,
Orkney Islands,2795.9305000000004,43.0,
Argyll and Bute,2884.1809000000003,186.74,
Angus,4197.512500000001,270.6,
Na h-Eileanan Siar,2472.2743,45.14,
Dumfries and Galloway,3586.8283,233.3,
Na h-Eileanan Siar,1928.7775,52.83,
Shetland Islands,2036.3773,36.7,
Na h-Eileanan Siar,1187.2171,47.71,
Falkirk,2008.3885000000002,287.1,
"Edinburgh, City of",977.2297,385.64,
Moray,4360.5901,189.97,
Shetland Islands,3519.426700000001,33.07,
Na h-Eileanan Siar,2604.3643,47.89,
Scottish Borders,1156.7293,365.0,
Orkney Islands,1941.2725,50.48,
Aberdeenshire,948.0985000000001,522.01,
Orkney Islands,3912.1267,47.24,
Highland,4806.911500000001,326.3,
Shetland Islands,1287.91032,34.72,
Glasgow City,1002.6481000000001,461.49,
