RegName,energy_cost,weight,aagph1819
Argyll and Bute,1394.094,177.76,
Shetland Islands,2468.0928000000004,38.82,
Aberdeenshire,4830.576000000001,454.17,
Fife,2553.4872,399.59,
Moray,4104.6522,223.01,
Na h-Eileanan Siar,4544.1192,43.9,
"Edinburgh, City of",971.763,464.12,
Na h-Eileanan Siar,2385.3402000000006,47.89,
South Lanarkshire,1362.6780000000003,420.42,
East Lothian,2282.2386,207.83,
Dundee City,971.763,302.69,
Na h-Eileanan Siar,4200.6138,48.9,
Highland,2963.9658000000004,365.1,
Scottish Borders,4141.0662,251.5,
Perth and Kinross,4436.305200000001,234.56,
Orkney Islands,2707.4970000000003,46.27,
South Ayrshire,1160.8301999999999,239.44,
Aberdeenshire,3955.8546,465.63,
Aberdeen City,971.763,457.87,
East Lothian,1411.3014000000003,209.78,
Highland,4205.968800000001,398.29,
Na h-Eileanan Siar,971.763,55.79,
Orkney Islands,2943.4026000000003,47.24,
Na h-Eileanan Siar,971.763,55.48,
Scottish Borders,1075.04712,268.79,
Aberdeenshire,1407.5886,465.63,
South Lanarkshire,2586.4026000000003,429.78,
Argyll and Bute,2260.5330000000004,180.9,
Aberdeen City,1884.1122,492.7,
Orkney Islands,2819.5950000000003,43.0,
Argyll and Bute,2907.8454,186.74,
Angus,4221.177000000001,270.6,
Na h-Eileanan Siar,2495.9388000000004,45.14,
Dumfries and Galloway,3610.4928000000004,233.3,
Na h-Eileanan Siar,1952.442,52.83,
Shetland Islands,2060.0418,36.7,
Na h-Eileanan Siar,1210.8816000000002,47.71,
Falkirk,2032.0530000000003,287.1,
"Edinburgh, City of",1000.8942,385.64,
Moray,4384.2546,189.97,
Shetland Islands,3543.0912000000008,33.07,
Na h-Eileanan Siar,2628.0288,47.89,
Scottish Borders,1180.3938,365.0,
Orkney Islands,1964.937,50.48,
Aberdeenshire,971.763,522.01,
Orkney Islands,3935.7912,47.24,
Highland,4830.576000000001,326.3,
Shetland Islands,1287.91032,34.72,
Glasgow City,1026.3126000000002,461.49,
Shetland Islands,2083.1040000000003,33.88,
Highland,4296.6468,335.31,
Na h-Eileanan Siar,2079.1056,51.53,
Na h-Eileanan Siar,3530.1678000000006,46.4,
Orkney Islands,1568.7384000000002,43.74,
Argyll and Bute,2402.7618,174.79,
Shetland Islands,2948.8290000000006,36.07,
Na h-Eileanan Siar,4830.576000000001,46.4,
Aberdeenshire,1834.7748000000001,420.51,
Na h-Eileanan Siar,3874.5300000000007,46.4,
Fife,587.51416,371.34,
Highland,3155.532,427.01,
Na h-Eileanan Siar,1605.2952,51.18,
Renfrewshire,1148.6208000000001,394.37,
Orkney Islands,2714.28,46.1,
Shetland Islands,2982.1014000000005,35.94,
Inverclyde,1495.2678,179.91,
Dumfries and Galloway,4830.576000000001,289.56,
Moray,4830.576000000001,223.01,
Shetland Islands,3473.2620000000006,38.82,
East Dunbartonshire,971.763,199.24,
Dumfries and Galloway,2373.3450000000003,240.49,
Angus,1887.3966,250.55,
Shetland Islands,1557.8142000000003,35.94,
Na h-Eileanan Siar,3674.181600000001,43.9,
Shetland Islands,3459.339,39.8,
Moray,4830.576000000001,200.05,
Dumfries and Galloway,1845.0564,304.25,
Falkirk,1710.0390000000002,275.06,
Aberdeenshire,3231.5730000000003,477.39,
Orkney Islands,2706.3546000000006,40.24,
Na h-Eileanan Siar,1268.7156,55.48,
Argyll and Bute,2500.8654,158.99,
Highland,4830.576000000001,398.29,
South Ayrshire,4830.576000000001,213.04,
Orkney Islands,2095.7418000000002,42.53,
Stirling,2773.5420000000004,155.39,
East Lothian,3015.0168000000003,173.18,
Perth and Kinross,1469.0639999999999,294.08,
Aberdeen City,971.763,332.23,
Shetland Islands,4830.576000000001,36.84,
Na h-Eileanan Siar,3853.0386000000003,52.83,
Na h-Eileanan Siar,3096.8412,47.58,
Na h-Eileanan Siar,971.763,53.15,
Na h-Eileanan Siar,1884.1836000000003,53.94,
Highland,1864.4058,448.67,
Dundee City,1000.68,285.35,
Argyll and Bute,1129.4142,187.11,
Shetland Islands,2765.6166000000003,40.76,
East Renfrewshire,1159.6878000000002,182.32,
Midlothian,4137.781800000001,148.08,
Scottish Borders,1541.7492000000002,251.5,
Orkney Islands,4830.576000000001,47.24,
Argyll and Bute,1514.8314,154.59,
West Lothian,1775.37,331.83,
Na h-Eileanan Siar,4830.576000000001,51.53,
Dundee City,1913.4576000000002,252.9,
Orkney Islands,3153.5328000000004,40.24,
Shetland Islands,2474.0904,32.94,
Shetland Islands,1772.5140000000001,39.8,
Midlothian,2321.5086,129.63,
Moray,1556.2434000000003,189.97,
Aberdeen City,2407.0458000000003,366.53,
Highland,983.1156,463.23,
Angus,1152.4764,285.87,
Moray,2325.3642000000004,189.97,
East Dunbartonshire,982.7586,186.24,
Aberdeenshire,4830.576000000001,397.89,
Shetland Islands,2699.5002000000004,33.88,
Highland,1175.6814,440.26,
Scottish Borders,1946.016,281.41,
Moray,3170.3832,194.66,
Scottish Borders,2514.0744000000004,257.7,
Highland,2498.9376,365.1,
East Lothian,2572.0512,173.18,
Shetland Islands,4116.361800000001,35.71,
"Edinburgh, City of",830.4596799999999,420.69,
South Lanarkshire,1589.3016000000002,419.2,
Shetland Islands,4830.576000000001,38.82,
Shetland Islands,2487.585,33.07,
Orkney Islands,971.763,60.04,
Na h-Eileanan Siar,2750.2656,46.4,
Na h-Eileanan Siar,4830.576000000001,47.89,
Dundee City,2349.1404,268.26,
South Ayrshire,971.763,178.67,
Na h-Eileanan Siar,4317.567,47.89,
Highland,4413.957,365.1,
Glasgow City,1495.0536000000002,398.5,
Orkney Islands,1698.9720000000002,46.1,
South Lanarkshire,3191.4462000000003,422.08,
Dumfries and Galloway,1064.0118,211.81,
Falkirk,2652.5190000000002,285.78,
Orkney Islands,3680.5362000000005,42.41,
Moray,4830.576000000001,249.53,
Na h-Eileanan Siar,3584.0034000000005,43.9,
Clackmannanshire,3470.6202000000003,103.52,
Glasgow City,542.1268,461.49,
North Lanarkshire,971.763,395.11,
Na h-Eileanan Siar,1816.2822,53.94,
Shetland Islands,2211.4098000000004,35.94,
Orkney Islands,2487.3708,43.74,
Na h-Eileanan Siar,2124.516,52.83,
Dumfries and Galloway,1446.7872000000002,220.45,
Shetland Islands,2174.496,39.8,
Orkney Islands,4830.576000000001,47.24,
Midlothian,3601.9962000000005,129.63,
Highland,1971.5058000000004,439.41,
Shetland Islands,3520.3146000000006,34.01,
Inverclyde,542.1268,179.91,
North Lanarkshire,545.58656,457.57,
Moray,996.8958,221.49,
"Edinburgh, City of",971.763,452.69,
Highland,2010.4902000000002,401.29,
Perth and Kinross,3419.9976,282.3,
Shetland Islands,1290.3498,34.85,
Orkney Islands,4112.5062,40.24,
Na h-Eileanan Siar,3810.4128,43.9,
Orkney Islands,3828.3342000000002,41.38,
Shetland Islands,1806.9288000000001,39.65,
Shetland Islands,3441.9888,35.71,
Shetland Islands,2111.0928000000004,38.55,
Perth and Kinross,1872.3312,236.64,
Na h-Eileanan Siar,2147.1498,50.29,
Na h-Eileanan Siar,2070.9660000000003,53.94,
Inverclyde,780.96752,196.27,
Scottish Borders,3663.0432,295.24,
Dumfries and Galloway,2418.7554000000005,221.27,
Orkney Islands,2204.9838,48.43,
Angus,1605.2238000000002,221.36,
Perth and Kinross,4830.576000000001,282.3,
East Renfrewshire,1138.6961999999999,230.34,
South Ayrshire,2294.2338,181.48,
Orkney Islands,4462.937400000001,47.24,
East Ayrshire,3899.8056000000006,195.26,
Moray,1774.2990000000004,256.32,
Midlothian,4830.576000000001,151.81,
Orkney Islands,4272.0852,47.24,
Argyll and Bute,993.6828,197.22,
"Edinburgh, City of",2814.9540000000006,407.6,
Highland,4035.4656000000004,458.04,
Shetland Islands,4721.9766,36.07,
Shetland Islands,3397.3638,33.07,
Aberdeenshire,3897.6636000000008,386.89,
Orkney Islands,1292.3490000000002,43.46,
Shetland Islands,2508.648,33.07,
South Ayrshire,2068.3956000000003,185.96,
"Edinburgh, City of",971.763,385.64,
Dumfries and Galloway,2999.0232000000005,259.74,
Argyll and Bute,1559.7420000000002,177.76,
Dumfries and Galloway,2301.231,249.34,
East Ayrshire,1193.46,178.29,
Shetland Islands,2332.1472000000003,32.94,
Angus,1842.2718,252.66,
Na h-Eileanan Siar,1791.5064000000002,48.25,
East Dunbartonshire,1795.5762,235.29,
North Lanarkshire,971.763,395.11,
Perth and Kinross,3489.684,234.56,
Shetland Islands,1957.6542000000004,39.8,
Highland,2082.8184,349.74,
Orkney Islands,2747.6952,48.43,
Orkney Islands,2928.4085999999998,40.24,
Perth and Kinross,2821.7370000000005,234.56,
Highland,2262.5322,401.29,
Orkney Islands,1952.6562000000004,47.24,
Highland,4166.9844,398.29,
Clackmannanshire,2275.3842000000004,86.58,
Dumfries and Galloway,4060.3128000000006,259.74,
Moray,4830.576000000001,194.66,
Argyll and Bute,971.763,132.75,
Perth and Kinross,1323.4794000000002,309.46,
"Edinburgh, City of",971.763,452.69,
North Lanarkshire,1220.8775999999998,395.11,
Shetland Islands,2619.1752000000006,33.07,
Moray,4830.576000000001,223.01,
North Lanarkshire,3119.1180000000004,455.35,
Na h-Eileanan Siar,4830.576000000001,51.53,
Stirling,2727.8460000000005,169.65,
Perth and Kinross,1698.8292000000001,294.28,
Na h-Eileanan Siar,4025.6124,47.89,
East Dunbartonshire,971.763,215.68,
Glasgow City,1972.5768000000003,386.1,
Orkney Islands,4830.576000000001,43.9,
Angus,2275.5270000000005,236.77,
Orkney Islands,4830.576000000001,47.24,
Highland,2715.9222,365.1,
Aberdeenshire,4830.576000000001,454.17,
Orkney Islands,1182.6072,41.38,
Shetland Islands,1664.4144000000001,40.63,
Moray,2138.0106,189.97,
Renfrewshire,971.763,599.63,
Perth and Kinross,4830.576000000001,315.87,
Argyll and Bute,2412.8292,180.9,
Aberdeenshire,1691.118,519.08,
Shetland Islands,1864.9770000000003,37.88,
Dundee City,971.763,277.46,
Aberdeen City,542.1268,362.43,
Aberdeenshire,1644.9222,485.38,
Dumfries and Galloway,3341.3862000000004,257.97,
Glasgow City,1002.39216,367.06,
Moray,4830.576000000001,207.25,
Aberdeen City,1338.045,346.78,
Na h-Eileanan Siar,4693.702200000001,46.4,
Argyll and Bute,1050.8742000000002,225.19,
Moray,2624.8158000000003,238.34,
Na h-Eileanan Siar,4763.1744,43.9,
Argyll and Bute,1059.228,186.74,
Highland,3609.7074000000002,428.59,
Highland,2408.4024000000004,458.04,
Aberdeen City,2329.6482,492.7,
Orkney Islands,1754.7354000000005,47.24,
Perth and Kinross,3352.3818,275.35,
Stirling,1104.6383999999998,200.12,
Argyll and Bute,1658.0598000000005,180.9,
"Edinburgh, City of",971.763,396.6,
Moray,1595.1563999999998,194.66,
Argyll and Bute,1202.4564,170.54,
South Ayrshire,1805.0724,183.09,
Na h-Eileanan Siar,3868.6752,47.89,
Na h-Eileanan Siar,4830.576000000001,47.58,
Shetland Islands,3908.1594000000005,38.82,
Dundee City,1057.3716,277.46,
Shetland Islands,3311.8266000000003,38.82,
Scottish Borders,1217.379,250.57,
Perth and Kinross,2681.6502,275.35,
Glasgow City,1071.8658,461.49,
Moray,1918.8126000000002,189.97,
Glasgow City,726.5496,375.68,
Glasgow City,971.763,461.49,
Perth and Kinross,594.7268799999999,283.67,
Fife,1958.0112000000004,390.83,
Shetland Islands,1334.1894000000002,39.65,
Glasgow City,1080.2196,375.68,
Shetland Islands,2065.5396,37.88,
Argyll and Bute,2084.6748000000002,170.54,
Glasgow City,661.57648,398.5,
Inverclyde,1313.1264,196.27,
Highland,4830.576000000001,392.71,
South Ayrshire,3394.1508000000003,186.65,
North Lanarkshire,1269.144,497.72,
Highland,1752.165,401.29,
Na h-Eileanan Siar,3503.6784,55.69,
Argyll and Bute,2127.2292,170.54,
Fife,2440.1040000000003,364.35,
Perth and Kinross,993.3972,333.59,
Highland,3522.5280000000002,428.59,
Aberdeen City,1242.4404,362.43,
East Lothian,1101.4254,178.71,
South Lanarkshire,4830.576000000001,472.27,
Orkney Islands,2589.33,43.74,
Shetland Islands,3638.7672000000002,35.94,
Argyll and Bute,1492.1262000000002,183.25,
Scottish Borders,4830.576000000001,295.24,
Aberdeenshire,3290.1924000000004,457.55,
Shetland Islands,2457.71968,39.37,
West Dunbartonshire,1264.7886,186.47,
South Lanarkshire,971.763,390.8,
Highland,1589.5158000000001,506.24,
East Lothian,1258.1484,207.83,
Inverclyde,2545.9188000000004,163.99,
Shetland Islands,3938.076,36.07,
Orkney Islands,1114.2060000000001,48.25,
Glasgow City,971.763,439.64,
East Ayrshire,2439.7470000000003,181.46,
Highland,1534.8234000000002,381.54,
Aberdeen City,660.22776,419.71,
Aberdeenshire,3541.5204000000003,386.89,
Argyll and Bute,976.6182,197.22,
Aberdeenshire,4830.576000000001,454.17,
Orkney Islands,4608.6648000000005,47.24,
Inverclyde,3415.7136,175.14,
Angus,3770.0718000000006,270.6,
Na h-Eileanan Siar,4830.576000000001,46.4,
Perth and Kinross,4830.576000000001,308.1,
Na h-Eileanan Siar,2876.8578,43.9,
Dumfries and Galloway,1283.9952,243.2,
Highland,3756.5772000000006,418.27,
Aberdeen City,1323.1938,362.43,
Orkney Islands,1498.2666,47.06,
Shetland Islands,2656.0176,38.67,
"Edinburgh, City of",1726.3182000000002,452.69,
Falkirk,542.1268,300.94,
Midlothian,2401.1196,132.83,
Scottish Borders,4830.576000000001,295.24,
Na h-Eileanan Siar,1595.442,52.64,
Highland,4830.576000000001,428.59,
Shetland Islands,3711.3256,38.02,
Scottish Borders,1558.5282000000002,281.8,
Na h-Eileanan Siar,3002.0220000000004,46.1,
Highland,2440.6038000000003,365.1,
Dundee City,2919.6264000000006,235.76,
Glasgow City,971.763,398.5,
Orkney Islands,1085.9316,49.45,
Fife,971.763,517.56,
Angus,2330.2908,244.38,
Aberdeen City,542.1268,419.71,
Angus,2165.0712,326.31,
Orkney Islands,2649.0204000000003,47.24,
Orkney Islands,3270.7002,42.41,
Aberdeenshire,2936.1198000000004,465.63,
East Ayrshire,971.763,205.64,
East Renfrewshire,542.1268,251.28,
Stirling,1132.6272,200.12,
Highland,2236.0428,392.71,
Scottish Borders,4830.576000000001,295.24,
Glasgow City,971.763,503.44,
Clackmannanshire,971.763,106.73,
North Ayrshire,4830.576000000001,273.15,
South Ayrshire,2762.8320000000003,208.07,
Highland,1977.0036,392.71,
Glasgow City,2072.9652,375.68,
Aberdeenshire,3185.2344000000003,451.07,
Highland,1555.9578000000001,425.67,
Perth and Kinross,2145.7932,247.01,
Highland,2289.4500000000003,343.61,
Shetland Islands,2039.6214,35.94,
Angus,2915.1282,224.84,
Orkney Islands,2774.1846,42.53,
South Lanarkshire,2285.6658,392.24,
Scottish Borders,2379.1284000000005,315.53,
Argyll and Bute,3148.8918000000003,155.16,
Glasgow City,1376.958,398.5,
Shetland Islands,1777.6548000000003,39.8,
Aberdeenshire,1143.48,455.67,
Shetland Islands,1699.9002,38.55,
North Ayrshire,971.763,261.69,
Orkney Islands,2116.2336,49.45,
Dumfries and Galloway,2082.6756,259.74,
Angus,4483.0722000000005,245.28,
Na h-Eileanan Siar,4300.431,47.89,
Shetland Islands,1460.95696,38.31,
Glasgow City,978.5459999999999,375.68,
Dumfries and Galloway,1557.9569999999999,243.2,
Angus,4830.576000000001,263.94,
Orkney Islands,2961.4668,43.9,
Highland,4220.820000000001,326.3,
Argyll and Bute,1678.98,180.9,
Dumfries and Galloway,2840.4438,247.58,
Shetland Islands,4603.381200000001,38.31,
Angus,4392.3228,237.46,
Argyll and Bute,4288.7214,163.4,
Argyll and Bute,3081.1332,164.0,
Orkney Islands,1228.6602000000003,60.04,
Orkney Islands,2239.3986,41.38,
Moray,2663.1576000000005,255.83,
Angus,1074.4362,285.87,
Perth and Kinross,2137.9392000000003,285.26,
Na h-Eileanan Siar,3165.6708000000003,46.4,
East Renfrewshire,1045.0908,230.34,
Glasgow City,542.1268,375.68,
Aberdeen City,971.763,505.14,
Aberdeenshire,4830.576000000001,454.17,
Shetland Islands,3711.3256,40.91,
