RegName,energy_cost,weight,aagph1819
Argyll and Bute,1743.6995,177.76,
Shetland Islands,2817.6983,38.82,
Aberdeenshire,5180.181500000001,454.17,
Fife,2903.0927,399.59,
Moray,4454.2577,223.01,
Na h-Eileanan Siar,4893.7247,43.9,
"Edinburgh, City of",1321.3685,464.12,
Na h-Eileanan Siar,2734.9457,47.89,
South Lanarkshire,1712.2835000000002,420.42,
East Lothian,2631.8441000000003,207.83,
Dundee City,1321.3685,302.69,
Na h-Eileanan Siar,4550.2193,48.9,
Highland,3313.5713000000005,365.1,
Scottish Borders,4490.6717,251.5,
Perth and Kinross,4785.9107,234.56,
Orkney Islands,3057.1025,46.27,
South Ayrshire,1510.4357,239.44,
Aberdeenshire,4305.4601,465.63,
Aberdeen City,1321.3685,457.87,
East Lothian,1760.9069000000002,209.78,
Highland,4555.5743,398.29,
Na h-Eileanan Siar,1321.3685,55.79,
Orkney Islands,3293.0081,47.24,
Na h-Eileanan Siar,1321.3685,55.48,
Scottish Borders,1075.04712,268.79,
Aberdeenshire,1757.1941000000002,465.63,
South Lanarkshire,2936.0081,429.78,
Argyll and Bute,2610.1385,180.9,
Aberdeen City,2233.7177,492.7,
Orkney Islands,3169.2005,43.0,
Argyll and Bute,3257.4509,186.74,
Angus,4570.7825,270.6,
Na h-Eileanan Siar,2845.5443000000005,45.14,
Dumfries and Galloway,3960.0983000000006,233.3,
Na h-Eileanan Siar,2302.0474999999997,52.83,
Shetland Islands,2409.6473,36.7,
Na h-Eileanan Siar,1560.4871,47.71,
Falkirk,2381.6585000000005,287.1,
"Edinburgh, City of",1350.4996999999998,385.64,
Moray,4733.8601,189.97,
Shetland Islands,3892.6967000000004,33.07,
Na h-Eileanan Siar,2977.6342999999997,47.89,
Scottish Borders,1529.9993,365.0,
Orkney Islands,2314.5425,50.48,
Aberdeenshire,1321.3685,522.01,
Orkney Islands,4285.3967,47.24,
Highland,5180.181500000001,326.3,
Shetland Islands,1287.91032,34.72,
Glasgow City,1375.9181,461.49,
Shetland Islands,2432.7095,33.88,
Highland,4646.2523,335.31,
Na h-Eileanan Siar,2428.7111,51.53,
Na h-Eileanan Siar,3879.7733000000007,46.4,
Orkney Islands,1918.3439,43.74,
Argyll and Bute,2752.3673,174.79,
Shetland Islands,3298.4345000000003,36.07,
Na h-Eileanan Siar,5180.181500000001,46.4,
Aberdeenshire,2184.3803000000003,420.51,
Na h-Eileanan Siar,4224.1355,46.4,
Fife,587.51416,371.34,
