RegName,energy_cost,weight,aagph1819
Argyll and Bute,2517.3525,177.76,
Shetland Islands,4412.6445,38.82,
Aberdeenshire,8581.732499999998,454.17,
Fife,4563.3405,399.59,
Moray,7300.6905,223.01,
Na h-Eileanan Siar,8076.2205,43.9,
"Edinburgh, City of",1772.0625,464.12,
Na h-Eileanan Siar,4266.6105,47.89,
South Lanarkshire,2461.9125000000004,420.42,
East Lothian,4084.6665000000003,207.83,
Dundee City,1772.0625,302.69,
Na h-Eileanan Siar,7470.034500000001,48.9,
Highland,5287.714500000001,365.1,
Scottish Borders,7364.9505,251.5,
Perth and Kinross,7885.9605,234.56,
Orkney Islands,4835.1225,46.27,
South Ayrshire,2105.7105,239.44,
Aberdeenshire,7038.106500000001,465.63,
Aberdeen City,1772.0625,457.87,
East Lothian,2547.7185000000004,209.78,
Highland,7479.4845000000005,398.29,
Na h-Eileanan Siar,1772.0625,55.79,
Orkney Islands,5251.4265000000005,47.24,
Na h-Eileanan Siar,1772.0625,55.48,
Scottish Borders,2001.59694,268.79,
Aberdeenshire,2541.1665000000003,465.63,
South Lanarkshire,4621.4265000000005,429.78,
Argyll and Bute,4046.3625,180.9,
Aberdeen City,3382.0905000000002,492.7,
Orkney Islands,5032.9425,43.0,
Argyll and Bute,5188.6785,186.74,
Angus,7506.322500000001,270.6,
Na h-Eileanan Siar,4461.784500000001,45.14,
Dumfries and Galloway,6428.644499999999,233.3,
Na h-Eileanan Siar,3502.6725,52.83,
Shetland Islands,3692.5545,36.7,
Na h-Eileanan Siar,2194.0365,47.71,
Falkirk,3643.1625,287.1,
"Edinburgh, City of",1823.4705,385.64,
Moray,7794.106500000001,189.97,
Shetland Islands,6309.7005,33.07,
Na h-Eileanan Siar,4694.8845,47.89,
Scottish Borders,2140.2345,365.0,
Orkney Islands,3524.7225,50.48,
Aberdeenshire,1772.0625,522.01,
Orkney Islands,7002.7005,47.24,
Highland,8581.732499999998,326.3,
Shetland Islands,2397.92034,34.72,
Glasgow City,1868.3265000000001,461.49,
Shetland Islands,3733.2525,33.88,
Highland,7639.5045,335.31,
Na h-Eileanan Siar,3726.1965,51.53,
Na h-Eileanan Siar,6286.894499999999,46.4,
Orkney Islands,2825.5485000000003,43.74,
Argyll and Bute,4297.3545,174.79,
Shetland Islands,5261.0025,36.07,
Na h-Eileanan Siar,8581.732499999998,46.4,
Aberdeenshire,3295.0245000000004,420.51,
Na h-Eileanan Siar,6894.5925,46.4,
Fife,1093.87442,371.34,
Highland,5625.7725,427.01,
Na h-Eileanan Siar,2890.0605,51.18,
Renfrewshire,2084.1645000000003,394.37,
Orkney Islands,4847.0925,46.1,
Shetland Islands,5319.7185,35.94,
Inverclyde,2695.8945000000003,179.91,
Dumfries and Galloway,8581.732499999998,289.56,
Moray,8581.732499999998,223.01,
Shetland Islands,6186.472500000001,38.82,
East Dunbartonshire,1772.0625,199.24,
Dumfries and Galloway,4245.4425,240.49,
Angus,3387.8865000000005,250.55,
Shetland Islands,2806.2705,35.94,
Na h-Eileanan Siar,6541.036500000001,43.9,
