RegName,energy_cost,weight,aagph1819
Argyll and Bute,1689.6165,177.76,
Shetland Islands,2763.6153000000004,38.82,
Aberdeenshire,5126.098500000001,454.17,
Fife,2849.0097,399.59,
Moray,4400.1747000000005,223.01,
Na h-Eileanan Siar,4839.6417,43.9,
"Edinburgh, City of",1267.2855,464.12,
Na h-Eileanan Siar,2680.8627000000006,47.89,
South Lanarkshire,1658.2005000000004,420.42,
East Lothian,2577.7611,207.83,
Dundee City,1267.2855,302.69,
Na h-Eileanan Siar,4496.1363,48.9,
Highland,3259.4883000000004,365.1,
Scottish Borders,4436.5887,251.5,
Perth and Kinross,4731.827700000001,234.56,
Orkney Islands,3003.0195000000003,46.27,
South Ayrshire,1456.3527,239.44,
Aberdeenshire,4251.3771,465.63,
Aberdeen City,1267.2855,457.87,
East Lothian,1706.8239000000003,209.78,
Highland,4501.491300000001,398.29,
Na h-Eileanan Siar,1267.2855,55.79,
Orkney Islands,3238.9251000000004,47.24,
Na h-Eileanan Siar,1267.2855,55.48,
Scottish Borders,1075.04712,268.79,
Aberdeenshire,1703.1111,465.63,
South Lanarkshire,2881.9251000000004,429.78,
Argyll and Bute,2556.0555000000004,180.9,
Aberdeen City,2179.6347,492.7,
Orkney Islands,3115.1175000000003,43.0,
Argyll and Bute,3203.3679,186.74,
Angus,4516.699500000001,270.6,
Na h-Eileanan Siar,2791.4613000000004,45.14,
Dumfries and Galloway,3906.0153000000005,233.3,
Na h-Eileanan Siar,2247.9645,52.83,
Shetland Islands,2355.5643,36.7,
Na h-Eileanan Siar,1506.4041000000002,47.71,
Falkirk,2327.5755000000004,287.1,
"Edinburgh, City of",1296.4167,385.64,
Moray,4679.7771,189.97,
Shetland Islands,3838.613700000001,33.07,
Na h-Eileanan Siar,2923.5513,47.89,
Scottish Borders,1475.9163,365.0,
Orkney Islands,2260.4595,50.48,
Aberdeenshire,1267.2855,522.01,
Orkney Islands,4231.3137,47.24,
Highland,5126.098500000001,326.3,
Shetland Islands,1287.91032,34.72,
Glasgow City,1321.8351000000002,461.49,
Shetland Islands,2378.6265000000003,33.88,
Highland,4592.1693000000005,335.31,
Na h-Eileanan Siar,2374.6281,51.53,
Na h-Eileanan Siar,3825.6903000000007,46.4,
Orkney Islands,1864.2609000000002,43.74,
Argyll and Bute,2698.2843000000003,174.79,
Shetland Islands,3244.3515000000007,36.07,
Na h-Eileanan Siar,5126.098500000001,46.4,
Aberdeenshire,2130.2973,420.51,
Na h-Eileanan Siar,4170.052500000001,46.4,
Fife,587.51416,371.34,
Highland,3451.0545,427.01,
Na h-Eileanan Siar,1900.8177,51.18,
Renfrewshire,1444.1433000000002,394.37,
Orkney Islands,3009.8025000000002,46.1,
Shetland Islands,3277.6239000000005,35.94,
Inverclyde,1790.7903000000001,179.91,
Dumfries and Galloway,5126.098500000001,289.56,
Moray,5126.098500000001,223.01,
Shetland Islands,3768.7845000000007,38.82,
East Dunbartonshire,1267.2855,199.24,
Dumfries and Galloway,2668.8675000000003,240.49,
Angus,2182.9191,250.55,
Shetland Islands,1853.3367000000003,35.94,
Na h-Eileanan Siar,3969.704100000001,43.9,
Shetland Islands,3754.8615,39.8,
Moray,5126.098500000001,200.05,
Dumfries and Galloway,2140.5789,304.25,
Falkirk,2005.5615000000003,275.06,
Aberdeenshire,3527.0955000000004,477.39,
Orkney Islands,3001.8771000000006,40.24,
Na h-Eileanan Siar,1564.2381,55.48,
Argyll and Bute,2796.3879,158.99,
Highland,5126.098500000001,398.29,
South Ayrshire,5126.098500000001,213.04,
Orkney Islands,2391.2643000000003,42.53,
Stirling,3069.0645000000004,155.39,
East Lothian,3310.5393000000004,173.18,
Perth and Kinross,1764.5865,294.08,
Aberdeen City,1267.2855,332.23,
Shetland Islands,5126.098500000001,36.84,
Na h-Eileanan Siar,4148.5611,52.83,
Na h-Eileanan Siar,3392.3637,47.58,
Na h-Eileanan Siar,1267.2855,53.15,
Na h-Eileanan Siar,2179.7061000000003,53.94,
Highland,2159.9283,448.67,
Dundee City,1296.2024999999999,285.35,
Argyll and Bute,1424.9367,187.11,
Shetland Islands,3061.1391000000003,40.76,
East Renfrewshire,1455.2103000000002,182.32,
Midlothian,4433.304300000001,148.08,
Scottish Borders,1837.2717000000002,251.5,
Orkney Islands,5126.098500000001,47.24,
Argyll and Bute,1810.3539,154.59,
West Lothian,2070.8925,331.83,
Na h-Eileanan Siar,5126.098500000001,51.53,
Dundee City,2208.9801,252.9,
Orkney Islands,3449.0553000000004,40.24,
Shetland Islands,2769.6129,32.94,
Shetland Islands,2068.0365,39.8,
Midlothian,2617.0311,129.63,
Moray,1851.7659000000003,189.97,
Aberdeen City,2702.5683000000004,366.53,
Highland,1278.6381000000001,463.23,
Angus,1447.9989,285.87,
Moray,2620.8867000000005,189.97,
East Dunbartonshire,1278.2811000000002,186.24,
Aberdeenshire,5126.098500000001,397.89,
Shetland Islands,2995.0227000000004,33.88,
Highland,1471.2039,440.26,
Scottish Borders,2241.5385,281.41,
Moray,3465.9057000000003,194.66,
Scottish Borders,2809.5969000000005,257.7,
Highland,2794.4601000000002,365.1,
East Lothian,2867.5737,173.18,
Shetland Islands,4411.884300000001,35.71,
"Edinburgh, City of",830.4596799999999,420.69,
South Lanarkshire,1884.8241000000003,419.2,
Shetland Islands,5126.098500000001,38.82,
Shetland Islands,2783.1075,33.07,
Orkney Islands,1267.2855,60.04,
Na h-Eileanan Siar,3045.7881,46.4,
Na h-Eileanan Siar,5126.098500000001,47.89,
Dundee City,2644.6629000000003,268.26,
South Ayrshire,1267.2855,178.67,
Na h-Eileanan Siar,4613.0895,47.89,
Highland,4709.4795,365.1,
Glasgow City,1790.5761000000002,398.5,
Orkney Islands,1994.4945000000002,46.1,
South Lanarkshire,3486.9687000000004,422.08,
Dumfries and Galloway,1359.5343,211.81,
Falkirk,2948.0415000000003,285.78,
Orkney Islands,3976.0587000000005,42.41,
Moray,5126.098500000001,249.53,
Na h-Eileanan Siar,3879.5259000000005,43.9,
Clackmannanshire,3766.1427000000003,103.52,
Glasgow City,542.1268,461.49,
North Lanarkshire,1267.2855,395.11,
Na h-Eileanan Siar,2111.8047,53.94,
Shetland Islands,2506.9323000000004,35.94,
Orkney Islands,2782.8933,43.74,
Na h-Eileanan Siar,2420.0385,52.83,
Dumfries and Galloway,1742.3097000000002,220.45,
Shetland Islands,2470.0185,39.8,
Orkney Islands,5126.098500000001,47.24,
Midlothian,3897.5187000000005,129.63,
Highland,2267.0283000000004,439.41,
Shetland Islands,3815.8371000000006,34.01,
Inverclyde,542.1268,179.91,
North Lanarkshire,545.58656,457.57,
Moray,1292.4183,221.49,
"Edinburgh, City of",1267.2855,452.69,
Highland,2306.0127,401.29,
Perth and Kinross,3715.5201,282.3,
Shetland Islands,1585.8723,34.85,
Orkney Islands,4408.0287,40.24,
Na h-Eileanan Siar,4105.9353,43.9,
Orkney Islands,4123.8567,41.38,
Shetland Islands,2102.4513,39.65,
Shetland Islands,3737.5113,35.71,
Shetland Islands,2406.6153000000004,38.55,
Perth and Kinross,2167.8537,236.64,
Na h-Eileanan Siar,2442.6723,50.29,
Na h-Eileanan Siar,2366.4885000000004,53.94,
Inverclyde,780.96752,196.27,
Scottish Borders,3958.5657,295.24,
Dumfries and Galloway,2714.2779000000005,221.27,
Orkney Islands,2500.5063,48.43,
Angus,1900.7463000000002,221.36,
Perth and Kinross,5126.098500000001,282.3,
East Renfrewshire,1434.2187,230.34,
South Ayrshire,2589.7563,181.48,
Orkney Islands,4758.459900000001,47.24,
East Ayrshire,4195.328100000001,195.26,
Moray,2069.8215000000005,256.32,
Midlothian,5126.098500000001,151.81,
Orkney Islands,4567.6077000000005,47.24,
Argyll and Bute,1289.2053,197.22,
