RegName,energy_cost,weight,aagph1819
Argyll and Bute,2175.462,177.76,
Shetland Islands,4070.7540000000004,38.82,
Aberdeenshire,8239.841999999999,454.17,
Fife,4221.45,399.59,
Moray,6958.799999999999,223.01,
Na h-Eileanan Siar,7734.33,43.9,
"Edinburgh, City of",1430.172,464.12,
Na h-Eileanan Siar,3924.72,47.89,
South Lanarkshire,2120.0220000000004,420.42,
East Lothian,3742.7760000000003,207.83,
Dundee City,1430.172,302.69,
Na h-Eileanan Siar,7128.144,48.9,
Highland,4945.8240000000005,365.1,
Scottish Borders,7023.0599999999995,251.5,
Perth and Kinross,7544.07,234.56,
Orkney Islands,4493.232,46.27,
South Ayrshire,1763.8200000000002,239.44,
Aberdeenshire,6696.216,465.63,
Aberdeen City,1430.172,457.87,
East Lothian,2205.8280000000004,209.78,
Highland,7137.594,398.29,
Na h-Eileanan Siar,1430.172,55.79,
Orkney Islands,4909.536,47.24,
Na h-Eileanan Siar,1430.172,55.48,
Scottish Borders,2001.59694,268.79,
Aberdeenshire,2199.2760000000003,465.63,
South Lanarkshire,4279.536,429.78,
Argyll and Bute,3704.472,180.9,
Aberdeen City,3040.2000000000003,492.7,
Orkney Islands,4691.052,43.0,
Argyll and Bute,4846.788,186.74,
Angus,7164.432000000001,270.6,
Na h-Eileanan Siar,4119.894,45.14,
Dumfries and Galloway,6086.753999999999,233.3,
Na h-Eileanan Siar,3160.782,52.83,
Shetland Islands,3350.664,36.7,
Na h-Eileanan Siar,1852.1460000000002,47.71,
Falkirk,3301.272,287.1,
"Edinburgh, City of",1481.58,385.64,
Moray,7452.216,189.97,
Shetland Islands,5967.8099999999995,33.07,
Na h-Eileanan Siar,4352.994,47.89,
Scottish Borders,1798.344,365.0,
Orkney Islands,3182.832,50.48,
Aberdeenshire,1430.172,522.01,
Orkney Islands,6660.8099999999995,47.24,
Highland,8239.841999999999,326.3,
Shetland Islands,2397.92034,34.72,
Glasgow City,1526.4360000000001,461.49,
Shetland Islands,3391.362,33.88,
Highland,7297.614,335.31,
Na h-Eileanan Siar,3384.306,51.53,
Na h-Eileanan Siar,5945.003999999999,46.4,
Orkney Islands,2483.6580000000004,43.74,
Argyll and Bute,3955.4640000000004,174.79,
Shetland Islands,4919.111999999999,36.07,
Na h-Eileanan Siar,8239.841999999999,46.4,
Aberdeenshire,2953.1340000000005,420.51,
Na h-Eileanan Siar,6552.701999999999,46.4,
Fife,1093.87442,371.34,
Highland,5283.882,427.01,
Na h-Eileanan Siar,2548.17,51.18,
Renfrewshire,1742.2740000000003,394.37,
Orkney Islands,4505.201999999999,46.1,
Shetland Islands,4977.8279999999995,35.94,
Inverclyde,2354.0040000000004,179.91,
Dumfries and Galloway,8239.841999999999,289.56,
Moray,8239.841999999999,223.01,
Shetland Islands,5844.582,38.82,
East Dunbartonshire,1430.172,199.24,
Dumfries and Galloway,3903.552,240.49,
Angus,3045.9960000000005,250.55,
Shetland Islands,2464.38,35.94,
Na h-Eileanan Siar,6199.146000000001,43.9,
Shetland Islands,5820.012,39.8,
Moray,8239.841999999999,200.05,
Dumfries and Galloway,2971.278,304.25,
Falkirk,2733.012,275.06,
Aberdeenshire,5418.071999999999,477.39,
Orkney Islands,4491.215999999999,40.24,
Na h-Eileanan Siar,1954.2060000000001,55.48,
Argyll and Bute,4128.588000000001,158.99,
Highland,8239.841999999999,398.29,
South Ayrshire,8239.841999999999,213.04,
Orkney Islands,3413.664,42.53,
Stirling,4609.781999999999,155.39,
East Lothian,5035.914,173.18,
Perth and Kinross,2307.762,294.08,
Aberdeen City,1430.172,332.23,
Shetland Islands,8239.841999999999,36.84,
Na h-Eileanan Siar,6514.776,52.83,
Na h-Eileanan Siar,5180.3099999999995,47.58,
Na h-Eileanan Siar,1430.172,53.15,
Na h-Eileanan Siar,3040.326,53.94,
Highland,3005.4240000000004,448.67,
Dundee City,1481.2019999999998,285.35,
Argyll and Bute,1708.38,187.11,
Shetland Islands,4595.796,40.76,
East Renfrewshire,1761.804,182.32,
Midlothian,7017.264,148.08,
Scottish Borders,2436.03,251.5,
Orkney Islands,8239.841999999999,47.24,
Argyll and Bute,2388.5280000000002,154.59,
West Lothian,2848.302,331.83,
Na h-Eileanan Siar,8239.841999999999,51.53,
Dundee City,3091.9860000000003,252.9,
Orkney Islands,5280.354,40.24,
Shetland Islands,4081.3380000000006,32.94,
Shetland Islands,2843.262,39.8,
Midlothian,3812.0760000000005,129.63,
Moray,2461.608,189.97,
Aberdeen City,3963.0240000000003,366.53,
Highland,1450.2060000000001,463.23,
Angus,1749.0780000000004,285.87,
Moray,3818.8800000000006,189.97,
East Dunbartonshire,1449.576,186.24,
Aberdeenshire,8239.841999999999,397.89,
Shetland Islands,4479.12,33.88,
Highland,1790.0280000000002,440.26,
Scottish Borders,3149.4420000000005,281.41,
Moray,5310.09,194.66,
Scottish Borders,4151.898,257.7,
Highland,4125.186,365.1,
East Lothian,4254.21,173.18,
Shetland Islands,6979.464000000001,35.71,
"Edinburgh, City of",1546.20716,420.69,
South Lanarkshire,2519.9460000000004,419.2,
Shetland Islands,8239.841999999999,38.82,
Shetland Islands,4105.151999999999,33.07,
Orkney Islands,1430.172,60.04,
Na h-Eileanan Siar,4568.706,46.4,
Na h-Eileanan Siar,8239.841999999999,47.89,
Dundee City,3860.8380000000006,268.26,
South Ayrshire,1430.172,178.67,
Na h-Eileanan Siar,7334.532,47.89,
Highland,7504.632,365.1,
Glasgow City,2353.626,398.5,
Orkney Islands,2713.4820000000004,46.1,
South Lanarkshire,5347.259999999999,422.08,
Dumfries and Galloway,1592.964,211.81,
Falkirk,4396.2119999999995,285.78,
Orkney Islands,6210.36,42.41,
Moray,8239.841999999999,249.53,
Na h-Eileanan Siar,6040.008,43.9,
Clackmannanshire,5839.92,103.52,
Glasgow City,1009.3690999999999,461.49,
North Lanarkshire,1430.172,395.11,
Na h-Eileanan Siar,2920.5000000000005,53.94,
Shetland Islands,3617.784,35.94,
Orkney Islands,4104.774,43.74,
Na h-Eileanan Siar,3464.442,52.83,
Dumfries and Galloway,2268.4500000000003,220.45,
Shetland Islands,3552.6420000000003,39.8,
