RegName,energy_cost,weight,aagph1819
Argyll and Bute,2687.0095,177.76,
Shetland Islands,4582.3015000000005,38.82,
Aberdeenshire,8751.3895,454.17,
Fife,4732.9975,399.59,
Moray,7470.3475,223.01,
Na h-Eileanan Siar,8245.8775,43.9,
"Edinburgh, City of",1941.7195,464.12,
Na h-Eileanan Siar,4436.2675,47.89,
South Lanarkshire,2631.5695000000005,420.42,
East Lothian,4254.3235,207.83,
Dundee City,1941.7195,302.69,
Na h-Eileanan Siar,7639.691500000001,48.9,
Highland,5457.371500000001,365.1,
Scottish Borders,7534.6075,251.5,
Perth and Kinross,8055.6175,234.56,
Orkney Islands,5004.779500000001,46.27,
South Ayrshire,2275.3675000000003,239.44,
Aberdeenshire,7207.763500000001,465.63,
Aberdeen City,1941.7195,457.87,
East Lothian,2717.3755,209.78,
Highland,7649.141500000001,398.29,
Na h-Eileanan Siar,1941.7195,55.79,
Orkney Islands,5421.083500000001,47.24,
Na h-Eileanan Siar,1941.7195,55.48,
Scottish Borders,2001.59694,268.79,
Aberdeenshire,2710.8235000000004,465.63,
South Lanarkshire,4791.083500000001,429.78,
Argyll and Bute,4216.0195,180.9,
Aberdeen City,3551.7475000000004,492.7,
Orkney Islands,5202.5995,43.0,
Argyll and Bute,5358.3355,186.74,
Angus,7675.979500000001,270.6,
Na h-Eileanan Siar,4631.441500000001,45.14,
Dumfries and Galloway,6598.3015,233.3,
Na h-Eileanan Siar,3672.3295,52.83,
Shetland Islands,3862.2115000000003,36.7,
Na h-Eileanan Siar,2363.6935000000003,47.71,
Falkirk,3812.8194999999996,287.1,
"Edinburgh, City of",1993.1275,385.64,
Moray,7963.763500000001,189.97,
Shetland Islands,6479.3575,33.07,
Na h-Eileanan Siar,4864.5415,47.89,
Scottish Borders,2309.8914999999997,365.0,
Orkney Islands,3694.3795,50.48,
Aberdeenshire,1941.7195,522.01,
Orkney Islands,7172.3575,47.24,
Highland,8751.3895,326.3,
Shetland Islands,2397.92034,34.72,
Glasgow City,2037.9835,461.49,
Shetland Islands,3902.9094999999998,33.88,
Highland,7809.1615,335.31,
Na h-Eileanan Siar,3895.8535,51.53,
Na h-Eileanan Siar,6456.5515,46.4,
Orkney Islands,2995.2055,43.74,
Argyll and Bute,4467.0115000000005,174.79,
Shetland Islands,5430.6595,36.07,
Na h-Eileanan Siar,8751.3895,46.4,
Aberdeenshire,3464.6815000000006,420.51,
Na h-Eileanan Siar,7064.2495,46.4,
Fife,1093.87442,371.34,
Highland,5795.4295,427.01,
Na h-Eileanan Siar,3059.7174999999997,51.18,
Renfrewshire,2253.8215,394.37,
Orkney Islands,5016.7495,46.1,
Shetland Islands,5489.3755,35.94,
Inverclyde,2865.5515000000005,179.91,
Dumfries and Galloway,8751.3895,289.56,
Moray,8751.3895,223.01,
Shetland Islands,6356.129500000001,38.82,
East Dunbartonshire,1941.7195,199.24,
Dumfries and Galloway,4415.0995,240.49,
Angus,3557.5435000000007,250.55,
Shetland Islands,2975.9275,35.94,
Na h-Eileanan Siar,6710.693500000001,43.9,
Shetland Islands,6331.5595,39.8,
Moray,8751.3895,200.05,
Dumfries and Galloway,3482.8255,304.25,
Falkirk,3244.5595000000003,275.06,
Aberdeenshire,5929.6195,477.39,
Orkney Islands,5002.7635,40.24,
Na h-Eileanan Siar,2465.7535,55.48,
Argyll and Bute,4640.1355,158.99,
Highland,8751.3895,398.29,
South Ayrshire,8751.3895,213.04,
Orkney Islands,3925.2115000000003,42.53,
Stirling,5121.3295,155.39,
East Lothian,5547.4615,173.18,
Perth and Kinross,2819.3095000000003,294.08,
Aberdeen City,1941.7195,332.23,
Shetland Islands,8751.3895,36.84,
Na h-Eileanan Siar,7026.3235,52.83,
Na h-Eileanan Siar,5691.8575,47.58,
Na h-Eileanan Siar,1941.7195,53.15,
Na h-Eileanan Siar,3551.8734999999997,53.94,
Highland,3516.9715000000006,448.67,
Dundee City,1992.7495,285.35,
Argyll and Bute,2219.9275,187.11,
Shetland Islands,5107.343500000001,40.76,
East Renfrewshire,2273.3514999999998,182.32,
Midlothian,7528.811500000001,148.08,
Scottish Borders,2947.5775000000003,251.5,
Orkney Islands,8751.3895,47.24,
Argyll and Bute,2900.0755,154.59,
West Lothian,3359.8495000000003,331.83,
Na h-Eileanan Siar,8751.3895,51.53,
Dundee City,3603.5335000000005,252.9,
Orkney Islands,5791.901500000001,40.24,
Shetland Islands,4592.8855,32.94,
Shetland Islands,3354.8095000000003,39.8,
Midlothian,4323.623500000001,129.63,
Moray,2973.1555,189.97,
Aberdeen City,4474.5715,366.53,
Highland,1961.7535,463.23,
Angus,2260.6255,285.87,
Moray,4330.427500000001,189.97,
East Dunbartonshire,1961.1235000000001,186.24,
Aberdeenshire,8751.3895,397.89,
Shetland Islands,4990.6675000000005,33.88,
Highland,2301.5755,440.26,
Scottish Borders,3660.9895000000006,281.41,
Moray,5821.637500000001,194.66,
Scottish Borders,4663.445500000001,257.7,
Highland,4636.7335,365.1,
East Lothian,4765.757500000001,173.18,
Shetland Islands,7491.011500000001,35.71,
"Edinburgh, City of",1546.20716,420.69,
South Lanarkshire,3031.4935000000005,419.2,
Shetland Islands,8751.3895,38.82,
Shetland Islands,4616.6995,33.07,
Orkney Islands,1941.7195,60.04,
Na h-Eileanan Siar,5080.253500000001,46.4,
Na h-Eileanan Siar,8751.3895,47.89,
Dundee City,4372.3855,268.26,
South Ayrshire,1941.7195,178.67,
Na h-Eileanan Siar,7846.079500000001,47.89,
Highland,8016.1795,365.1,
Glasgow City,2865.1735,398.5,
Orkney Islands,3225.0295000000006,46.1,
South Lanarkshire,5858.8075,422.08,
Dumfries and Galloway,2104.5115,211.81,
Falkirk,4907.7595,285.78,
Orkney Islands,6721.9075,42.41,
Moray,8751.3895,249.53,
Na h-Eileanan Siar,6551.5555,43.9,
Clackmannanshire,6351.467500000001,103.52,
Glasgow City,1009.3690999999999,461.49,
North Lanarkshire,1941.7195,395.11,
Na h-Eileanan Siar,3432.0475000000006,53.94,
Shetland Islands,4129.3315,35.94,
Orkney Islands,4616.3215,43.74,
Na h-Eileanan Siar,3975.9894999999997,52.83,
Dumfries and Galloway,2779.9975000000004,220.45,
Shetland Islands,4064.1895000000004,39.8,
Orkney Islands,8751.3895,47.24,
Midlothian,6583.3075,129.63,
Highland,3705.9715000000006,439.41,
Shetland Islands,6439.163500000001,34.01,
Inverclyde,1009.3690999999999,179.91,
North Lanarkshire,1015.81072,457.57,
Moray,1986.0715000000002,221.49,
"Edinburgh, City of",1941.7195,452.69,
Highland,3774.7675,401.29,
Perth and Kinross,6262.133500000001,282.3,
Shetland Islands,2503.9314999999997,34.85,
Orkney Islands,7484.2075,40.24,
Na h-Eileanan Siar,6951.101500000001,43.9,
Orkney Islands,6982.727500000001,41.38,
Shetland Islands,3415.5415000000003,39.65,
Shetland Islands,6300.9415,35.71,
Shetland Islands,3952.3015000000005,38.55,
Perth and Kinross,3530.9575000000004,236.64,
Na h-Eileanan Siar,4015.9315000000006,50.29,
Na h-Eileanan Siar,3881.4894999999997,53.94,
Inverclyde,1454.05924,196.27,
Scottish Borders,6691.0375,295.24,
Dumfries and Galloway,4495.235500000001,221.27,
Orkney Islands,4117.9915,48.43,
Angus,3059.5915000000005,221.36,
Perth and Kinross,8751.3895,282.3,
East Renfrewshire,2236.3075,230.34,
South Ayrshire,4275.4915,181.48,
Orkney Islands,8102.615500000001,47.24,
East Ayrshire,7108.853500000001,195.26,
Moray,3357.9595,256.32,
Midlothian,8751.3895,151.81,
Orkney Islands,7765.817500000001,47.24,
Argyll and Bute,1980.4015,197.22,
"Edinburgh, City of",5194.4095,407.6,
Highland,7348.253500000001,458.04,
Shetland Islands,8559.7435,36.07,
Shetland Islands,6222.1915,33.07,
Aberdeenshire,7105.0735,386.89,
Orkney Islands,2507.4595,43.46,
Shetland Islands,4653.8695,33.07,
South Ayrshire,3876.9535000000005,185.96,
"Edinburgh, City of",1941.7195,385.64,
Dumfries and Galloway,5519.237500000001,259.74,
Argyll and Bute,2979.3295,177.76,
Dumfries and Galloway,4287.8395,249.34,
East Ayrshire,2332.9494999999997,178.29,
Shetland Islands,4342.3975,32.94,
Angus,3477.9115,252.66,
Na h-Eileanan Siar,3388.3255,48.25,
East Dunbartonshire,3395.5074999999997,235.29,
North Lanarkshire,1941.7195,395.11,
Perth and Kinross,6385.1095000000005,234.56,
Shetland Islands,3681.5275,39.8,
Highland,3902.4055000000008,349.74,
Orkney Islands,5075.717500000001,48.43,
Orkney Islands,5394.623500000001,40.24,
Perth and Kinross,5206.379500000001,234.56,
Highland,4219.547500000001,401.29,
Orkney Islands,3672.7075000000004,47.24,
Highland,7580.3455,398.29,
Clackmannanshire,4242.2275,86.58,
Dumfries and Galloway,7392.101500000001,259.74,
Moray,8751.3895,194.66,
Argyll and Bute,1941.7195,132.75,
Perth and Kinross,2562.3955000000005,309.46,
"Edinburgh, City of",1941.7195,452.69,
North Lanarkshire,2381.3335,395.11,
Shetland Islands,4848.9175000000005,33.07,
Moray,8751.3895,223.01,
North Lanarkshire,5731.1695,455.35,
Na h-Eileanan Siar,8751.3895,51.53,
