RegName,energy_cost,weight,aagph1819
Argyll and Bute,2465.867,177.76,
Shetland Islands,4361.159000000001,38.82,
Aberdeenshire,8530.247,454.17,
Fife,4511.8550000000005,399.59,
Moray,7249.205,223.01,
Na h-Eileanan Siar,8024.735000000001,43.9,
"Edinburgh, City of",1720.5769999999998,464.12,
Na h-Eileanan Siar,4215.125,47.89,
South Lanarkshire,2410.427,420.42,
East Lothian,4033.181,207.83,
Dundee City,1720.5769999999998,302.69,
Na h-Eileanan Siar,7418.549000000001,48.9,
Highland,5236.229000000001,365.1,
Scottish Borders,7313.465,251.5,
Perth and Kinross,7834.475,234.56,
Orkney Islands,4783.637000000001,46.27,
South Ayrshire,2054.225,239.44,
Aberdeenshire,6986.621000000001,465.63,
Aberdeen City,1720.5769999999998,457.87,
East Lothian,2496.233,209.78,
Highland,7427.999000000001,398.29,
Na h-Eileanan Siar,1720.5769999999998,55.79,
Orkney Islands,5199.941000000001,47.24,
Na h-Eileanan Siar,1720.5769999999998,55.48,
Scottish Borders,2001.59694,268.79,
Aberdeenshire,2489.681,465.63,
South Lanarkshire,4569.941000000001,429.78,
Argyll and Bute,3994.877,180.9,
Aberdeen City,3330.605,492.7,
Orkney Islands,4981.457,43.0,
Argyll and Bute,5137.193,186.74,
Angus,7454.837000000001,270.6,
Na h-Eileanan Siar,4410.299000000001,45.14,
Dumfries and Galloway,6377.159,233.3,
Na h-Eileanan Siar,3451.187,52.83,
Shetland Islands,3641.069,36.7,
Na h-Eileanan Siar,2142.551,47.71,
Falkirk,3591.6769999999997,287.1,
"Edinburgh, City of",1771.9850000000001,385.64,
Moray,7742.621000000001,189.97,
Shetland Islands,6258.215,33.07,
Na h-Eileanan Siar,4643.399,47.89,
Scottish Borders,2088.749,365.0,
Orkney Islands,3473.2369999999996,50.48,
Aberdeenshire,1720.5769999999998,522.01,
Orkney Islands,6951.215,47.24,
Highland,8530.247,326.3,
Shetland Islands,2397.92034,34.72,
Glasgow City,1816.841,461.49,
Shetland Islands,3681.767,33.88,
Highland,7588.019,335.31,
Na h-Eileanan Siar,3674.711,51.53,
Na h-Eileanan Siar,6235.409,46.4,
Orkney Islands,2774.063,43.74,
Argyll and Bute,4245.869000000001,174.79,
Shetland Islands,5209.517,36.07,
Na h-Eileanan Siar,8530.247,46.4,
Aberdeenshire,3243.539,420.51,
Na h-Eileanan Siar,6843.107,46.4,
Fife,1093.87442,371.34,
Highland,5574.287,427.01,
Na h-Eileanan Siar,2838.575,51.18,
Renfrewshire,2032.679,394.37,
Orkney Islands,4795.607,46.1,
Shetland Islands,5268.233,35.94,
Inverclyde,2644.409,179.91,
Dumfries and Galloway,8530.247,289.56,
